Fecha,Dato
01/12/2003,100.0000
01/01/2004,98.8390
01/02/2004,99.1310
01/03/2004,99.0710
01/04/2004,99.9610
01/05/2004,100.8930
01/06/2004,100.4240
01/07/2004,100.7600
01/08/2004,100.4910
01/09/2004,100.7980
01/10/2004,101.0820
01/11/2004,101.0960
01/12/2004,100.4450
01/01/2005,100.6070
01/02/2005,100.2170
01/03/2005,100.1970
01/04/2005,100.1370
01/05/2005,99.6860
01/06/2005,99.1070
01/07/2005,98.6150
01/08/2005,98.5150
01/09/2005,98.9210
01/10/2005,99.0880
01/11/2005,98.5960
01/12/2005,98.3180
01/01/2006,98.1740
01/02/2006,97.8540
01/03/2006,98.6520
01/04/2006,100.0470
01/05/2006,100.2110
01/06/2006,101.3530
01/07/2006,100.1280
01/08/2006,99.5310
01/09/2006,99.8790
01/10/2006,99.7240
01/11/2006,101.5470
01/12/2006,101.4360
01/01/2007,103.7220
01/02/2007,103.9480
01/03/2007,104.4730
01/04/2007,103.9680
01/05/2007,103.3390
01/06/2007,103.3250
01/07/2007,103.1870
01/08/2007,104.1190
01/09/2007,104.1710
01/10/2007,103.3930
01/11/2007,103.4510
01/12/2007,103.4250
01/01/2008,103.6640
01/02/2008,103.8620
01/03/2008,103.6690
01/04/2008,102.8750
01/05/2008,104.3730
01/06/2008,106.6660
01/07/2008,106.6180
01/08/2008,105.9780
01/09/2008,108.0100
01/10/2008,115.4710
01/11/2008,118.2470
01/12/2008,119.2300
01/01/2009,120.9010
01/02/2009,123.3440
01/03/2009,121.5870
01/04/2009,118.4150
01/05/2009,117.7020
01/06/2009,116.6350
01/07/2009,117.3030
01/08/2009,116.0720
01/09/2009,117.4230
01/10/2009,117.0620
01/11/2009,116.5670
01/12/2009,115.5480
01/01/2010,115.6550
01/02/2010,116.1380
01/03/2010,114.9820
01/04/2010,113.6830
01/05/2010,115.1640
01/06/2010,118.8610
01/07/2010,120.2860
01/08/2010,120.6320
01/09/2010,123.6440
01/10/2010,122.1600
01/11/2010,121.6630
01/12/2010,121.9730
01/01/2011,121.0270
01/02/2011,125.4630
01/03/2011,125.7360
01/04/2011,124.6050
01/05/2011,124.1730
01/06/2011,125.6370
