Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,100.2460
01/05/2004,100.2460
01/06/2004,101.3960
01/07/2004,101.3960
01/08/2004,101.5430
01/09/2004,101.5430
01/10/2004,101.5430
01/11/2004,101.5430
01/12/2004,101.5430
01/01/2005,101.5430
01/02/2005,101.5430
01/03/2005,101.5430
01/04/2005,101.5430
01/05/2005,101.5430
01/06/2005,101.5430
01/07/2005,101.5430
01/08/2005,102.1330
01/09/2005,102.1330
01/10/2005,103.1210
01/11/2005,103.1210
01/12/2005,103.1210
01/01/2006,108.2630
01/02/2006,108.2630
01/03/2006,108.2630
01/04/2006,108.2630
01/05/2006,108.2630
01/06/2006,108.2630
01/07/2006,109.7950
01/08/2006,109.7950
01/09/2006,109.7950
01/10/2006,109.7950
01/11/2006,109.7950
01/12/2006,109.7950
01/01/2007,110.3640
01/02/2007,111.7210
01/03/2007,111.7210
01/04/2007,111.7210
01/05/2007,111.7210
01/06/2007,110.1890
01/07/2007,110.5090
01/08/2007,110.5090
01/09/2007,110.5090
01/10/2007,114.1310
01/11/2007,114.1310
01/12/2007,114.1310
01/01/2008,116.2490
01/02/2008,116.6510
01/03/2008,116.6510
01/04/2008,117.2740
01/05/2008,117.2740
01/06/2008,117.2740
01/07/2008,117.2790
01/08/2008,117.2790
01/09/2008,117.9540
01/10/2008,117.9540
01/11/2008,117.9540
01/12/2008,117.9540
01/01/2009,122.4430
01/02/2009,122.4430
01/03/2009,122.4430
01/04/2009,122.4430
01/05/2009,122.4430
01/06/2009,122.4430
01/07/2009,122.4430
01/08/2009,122.4430
01/09/2009,122.4430
01/10/2009,122.7520
01/11/2009,122.7520
01/12/2009,122.7520
01/01/2010,122.4640
01/02/2010,122.4640
01/03/2010,122.4640
01/04/2010,122.4640
01/05/2010,122.7310
01/06/2010,122.7310
01/07/2010,123.5700
01/08/2010,123.5700
01/09/2010,124.2710
01/10/2010,124.2710
01/11/2010,124.2710
01/12/2010,124.2710
01/01/2011,124.4860
01/02/2011,124.8100
01/03/2011,124.6800
01/04/2011,124.6800
01/05/2011,125.4680
01/06/2011,125.4680
