Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.4670
01/04/2004,100.4670
01/05/2004,100.4670
01/06/2004,100.4670
01/07/2004,100.4670
01/08/2004,100.4670
01/09/2004,100.4670
01/10/2004,100.4670
01/11/2004,100.4670
01/12/2004,100.4670
01/01/2005,100.9150
01/02/2005,100.9150
01/03/2005,100.9150
01/04/2005,100.9150
01/05/2005,100.9150
01/06/2005,100.9150
01/07/2005,100.9150
01/08/2005,101.9630
01/09/2005,101.9630
01/10/2005,101.9630
01/11/2005,101.9630
01/12/2005,101.9630
01/01/2006,104.6540
01/02/2006,104.6540
01/03/2006,104.6540
01/04/2006,104.6540
01/05/2006,104.6540
01/06/2006,104.6540
01/07/2006,105.4060
01/08/2006,105.4060
01/09/2006,105.4060
01/10/2006,105.4060
01/11/2006,105.4060
01/12/2006,105.4060
01/01/2007,105.4060
01/02/2007,105.4060
01/03/2007,105.4060
01/04/2007,105.4060
01/05/2007,105.4060
01/06/2007,104.6540
01/07/2007,104.6540
01/08/2007,104.6540
01/09/2007,103.5860
01/10/2007,105.9370
01/11/2007,105.9370
01/12/2007,105.9370
01/01/2008,107.3570
01/02/2008,107.5060
01/03/2008,107.5060
01/04/2008,108.4040
01/05/2008,108.4040
01/06/2008,108.4040
01/07/2008,108.4040
01/08/2008,108.4040
01/09/2008,109.3530
01/10/2008,109.6700
01/11/2008,109.6700
01/12/2008,109.6700
01/01/2009,110.9360
01/02/2009,110.9360
01/03/2009,111.9750
01/04/2009,111.9750
01/05/2009,111.9750
01/06/2009,111.9750
01/07/2009,111.9750
01/08/2009,111.9750
01/09/2009,111.9750
01/10/2009,111.9750
01/11/2009,111.9750
01/12/2009,111.9750
01/01/2010,111.9750
01/02/2010,111.9750
01/03/2010,111.9750
01/04/2010,111.9750
01/05/2010,116.2790
01/06/2010,116.2790
01/07/2010,116.2790
01/08/2010,116.2790
01/09/2010,116.2790
01/10/2010,116.2790
01/11/2010,116.2790
01/12/2010,116.2790
01/01/2011,116.9370
01/02/2011,117.3200
01/03/2011,117.9610
01/04/2011,117.9610
01/05/2011,117.9610
01/06/2011,117.9610
