Fecha,Dato
01/12/2003,100.0000
01/01/2004,104.0800
01/02/2004,96.5040
01/03/2004,93.5910
01/04/2004,99.0690
01/05/2004,103.2650
01/06/2004,107.2280
01/07/2004,102.1000
01/08/2004,102.4490
01/09/2004,108.7420
01/10/2004,107.5760
01/11/2004,110.9560
01/12/2004,107.8080
01/01/2005,100.9310
01/02/2005,108.1560
01/03/2005,108.1560
01/04/2005,105.1240
01/05/2005,108.5040
01/06/2005,107.2210
01/07/2005,107.2210
01/08/2005,112.7660
01/09/2005,114.9840
01/10/2005,114.7370
01/11/2005,114.4900
01/12/2005,113.1340
01/01/2006,113.8730
01/02/2006,111.6540
01/03/2006,113.7480
01/04/2006,113.1310
01/05/2006,116.8280
01/06/2006,121.1400
01/07/2006,124.9600
01/08/2006,120.5220
01/09/2006,121.5080
01/10/2006,119.7820
01/11/2006,120.6430
01/12/2006,121.9990
01/01/2007,128.8700
01/02/2007,127.6010
01/03/2007,127.6320
01/04/2007,127.6320
01/05/2007,130.6170
01/06/2007,129.8250
01/07/2007,130.1770
01/08/2007,131.9900
01/09/2007,132.0510
01/10/2007,132.3890
01/11/2007,131.0870
01/12/2007,130.6340
01/01/2008,128.7460
01/02/2008,130.2630
01/03/2008,136.0810
01/04/2008,138.7130
01/05/2008,140.8910
01/06/2008,144.9820
01/07/2008,146.5270
01/08/2008,151.9440
01/09/2008,158.1060
01/10/2008,175.2880
01/11/2008,191.1930
01/12/2008,195.1830
01/01/2009,197.6190
01/02/2009,211.0610
01/03/2009,221.0940
01/04/2009,214.4620
01/05/2009,198.0700
01/06/2009,201.5220
01/07/2009,193.9750
01/08/2009,193.8240
01/09/2009,195.5230
01/10/2009,195.0410
01/11/2009,189.5320
01/12/2009,189.7920
01/01/2010,187.8940
01/02/2010,170.6570
01/03/2010,148.2850
01/04/2010,146.7560
01/05/2010,148.4980
01/06/2010,184.3590
01/07/2010,184.8060
01/08/2010,184.3390
01/09/2010,188.2940
01/10/2010,186.7090
01/11/2010,183.0520
01/12/2010,183.1640
01/01/2011,182.1530
01/02/2011,208.9610
01/03/2011,210.4860
01/04/2011,210.0190
01/05/2011,209.9170
01/06/2011,221.8130
