Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,107.3370
01/05/2004,107.3370
01/06/2004,107.3370
01/07/2004,107.3370
01/08/2004,111.9920
01/09/2004,111.9910
01/10/2004,111.9910
01/11/2004,110.6630
01/12/2004,110.6630
01/01/2005,110.6630
01/02/2005,110.6630
01/03/2005,110.6630
01/04/2005,110.6630
01/05/2005,116.8820
01/06/2005,116.8820
01/07/2005,116.8820
01/08/2005,116.8820
01/09/2005,116.8820
01/10/2005,116.8820
01/11/2005,122.1590
01/12/2005,122.1590
01/01/2006,122.1590
01/02/2006,122.1590
01/03/2006,121.1380
01/04/2006,121.1380
01/05/2006,121.1380
01/06/2006,121.1380
01/07/2006,121.3390
01/08/2006,121.3390
01/09/2006,121.3390
01/10/2006,116.5580
01/11/2006,116.5580
01/12/2006,116.5580
01/01/2007,116.5580
01/02/2007,116.5580
01/03/2007,125.5340
01/04/2007,125.5340
01/05/2007,125.5340
01/06/2007,125.5340
01/07/2007,125.5340
01/08/2007,148.7650
01/09/2007,165.5480
01/10/2007,172.1010
01/11/2007,175.6590
01/12/2007,190.8180
01/01/2008,204.4720
01/02/2008,203.6560
01/03/2008,262.2580
01/04/2008,306.8290
01/05/2008,325.2370
01/06/2008,337.1590
01/07/2008,412.6160
01/08/2008,415.8100
01/09/2008,405.4870
01/10/2008,375.4650
01/11/2008,364.4950
01/12/2008,335.9310
01/01/2009,294.8730
01/02/2009,295.4670
01/03/2009,302.6870
01/04/2009,300.5040
01/05/2009,207.5430
01/06/2009,202.8470
01/07/2009,202.8400
01/08/2009,195.8720
01/09/2009,201.1090
01/10/2009,200.8390
01/11/2009,200.3610
01/12/2009,199.7220
01/01/2010,181.1540
01/02/2010,181.5580
01/03/2010,180.5900
01/04/2010,194.2670
01/05/2010,196.3760
01/06/2010,186.2680
01/07/2010,187.2440
01/08/2010,186.8410
01/09/2010,187.2770
01/10/2010,228.0960
01/11/2010,227.5720
01/12/2010,232.5040
01/01/2011,231.4130
01/02/2011,237.2780
01/03/2011,237.0190
01/04/2011,235.7750
01/05/2011,235.3000
01/06/2011,240.3630
