Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.3620
01/02/2004,101.0090
01/03/2004,100.9770
01/04/2004,102.2950
01/05/2004,104.3020
01/06/2004,103.8380
01/07/2004,105.0950
01/08/2004,106.9900
01/09/2004,117.5830
01/10/2004,120.0300
01/11/2004,123.6030
01/12/2004,122.8600
01/01/2005,125.2800
01/02/2005,125.1940
01/03/2005,125.3200
01/04/2005,124.5480
01/05/2005,124.0860
01/06/2005,123.3240
01/07/2005,122.8390
01/08/2005,122.3720
01/09/2005,121.7250
01/10/2005,123.0860
01/11/2005,124.6050
01/12/2005,122.3520
01/01/2006,121.3040
01/02/2006,121.2430
01/03/2006,121.6880
01/04/2006,123.8820
01/05/2006,124.3460
01/06/2006,128.4330
01/07/2006,127.2900
01/08/2006,126.6960
01/09/2006,135.8220
01/10/2006,135.6480
01/11/2006,137.0510
01/12/2006,137.1530
01/01/2007,138.0930
01/02/2007,137.1890
01/03/2007,137.2210
01/04/2007,131.5490
01/05/2007,132.2950
01/06/2007,130.7310
01/07/2007,132.1240
01/08/2007,134.5000
01/09/2007,136.1120
01/10/2007,136.0370
01/11/2007,139.7690
01/12/2007,143.4370
01/01/2008,143.9340
01/02/2008,145.3060
01/03/2008,145.6080
01/04/2008,142.5930
01/05/2008,142.4960
01/06/2008,141.7550
01/07/2008,141.9450
01/08/2008,146.0370
01/09/2008,149.3840
01/10/2008,165.5540
01/11/2008,168.3290
01/12/2008,160.6470
01/01/2009,153.7810
01/02/2009,156.7410
01/03/2009,147.6000
01/04/2009,142.0830
01/05/2009,137.9860
01/06/2009,138.4350
01/07/2009,142.6890
01/08/2009,150.5140
01/09/2009,152.3650
01/10/2009,150.1070
01/11/2009,149.4070
01/12/2009,149.8050
01/01/2010,149.2030
01/02/2010,155.9720
01/03/2010,156.7700
01/04/2010,155.4520
01/05/2010,162.2360
01/06/2010,162.6740
01/07/2010,162.3210
01/08/2010,161.8070
01/09/2010,161.1690
01/10/2010,158.6430
01/11/2010,159.5850
01/12/2010,161.0620
01/01/2011,159.3380
01/02/2011,165.2050
01/03/2011,169.3880
01/04/2011,167.3660
01/05/2011,182.5090
01/06/2011,183.8400
