Fecha,Dato
01/12/2003,100.0000
01/01/2004,98.0430
01/02/2004,98.5300
01/03/2004,98.4280
01/04/2004,115.7440
01/05/2004,115.7440
01/06/2004,115.7440
01/07/2004,129.8980
01/08/2004,127.7440
01/09/2004,129.2210
01/10/2004,134.3890
01/11/2004,140.5410
01/12/2004,144.8480
01/01/2005,157.0960
01/02/2005,157.0960
01/03/2005,151.8050
01/04/2005,153.8090
01/05/2005,155.9630
01/06/2005,155.9630
01/07/2005,149.1550
01/08/2005,145.5250
01/09/2005,139.3730
01/10/2005,153.9690
01/11/2005,166.9990
01/12/2005,171.1690
01/01/2006,173.1720
01/02/2006,172.8030
01/03/2006,172.8030
01/04/2006,170.6070
01/05/2006,171.8680
01/06/2006,171.8680
01/07/2006,177.7450
01/08/2006,187.3430
01/09/2006,189.8660
01/10/2006,196.4690
01/11/2006,196.4690
01/12/2006,191.0540
01/01/2007,191.0540
01/02/2007,191.0540
01/03/2007,190.6850
01/04/2007,183.7560
01/05/2007,183.7560
01/06/2007,183.7560
01/07/2007,183.1360
01/08/2007,183.1360
01/09/2007,187.3060
01/10/2007,186.2080
01/11/2007,184.5770
01/12/2007,184.5770
01/01/2008,199.5900
01/02/2008,205.8030
01/03/2008,215.9920
01/04/2008,215.9920
01/05/2008,215.9920
01/06/2008,217.9900
01/07/2008,235.7140
01/08/2008,235.7140
01/09/2008,241.8180
01/10/2008,241.8180
01/11/2008,241.8180
01/12/2008,241.8180
01/01/2009,227.0560
01/02/2009,216.6300
01/03/2009,210.3740
01/04/2009,210.3740
01/05/2009,210.3740
01/06/2009,206.2040
01/07/2009,206.2040
01/08/2009,206.2040
01/09/2009,206.2040
01/10/2009,214.4480
01/11/2009,214.4480
01/12/2009,214.4480
01/01/2010,212.2030
01/02/2010,218.3110
01/03/2010,235.6210
01/04/2010,239.2100
01/05/2010,246.1620
01/06/2010,252.4180
01/07/2010,252.4180
01/08/2010,252.4180
01/09/2010,247.8030
01/10/2010,247.8030
01/11/2010,249.6180
01/12/2010,250.1110
01/01/2011,253.8640
01/02/2011,251.6490
01/03/2011,254.5400
01/04/2011,258.9400
01/05/2011,266.8550
01/06/2011,267.3770
