Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.7230
01/02/2004,100.7820
01/03/2004,100.7820
01/04/2004,101.2430
01/05/2004,103.9930
01/06/2004,105.1010
01/07/2004,105.1870
01/08/2004,105.1920
01/09/2004,106.5330
01/10/2004,106.5960
01/11/2004,107.0910
01/12/2004,107.0910
01/01/2005,107.5710
01/02/2005,109.2710
01/03/2005,109.3160
01/04/2005,110.3710
01/05/2005,110.4390
01/06/2005,112.0990
01/07/2005,112.2600
01/08/2005,112.6700
01/09/2005,113.2500
01/10/2005,113.2640
01/11/2005,113.6380
01/12/2005,113.7870
01/01/2006,114.9310
01/02/2006,116.6770
01/03/2006,119.1740
01/04/2006,121.1110
01/05/2006,121.1110
01/06/2006,121.5780
01/07/2006,121.6850
01/08/2006,121.8330
01/09/2006,121.8330
01/10/2006,122.6800
01/11/2006,124.9610
01/12/2006,125.3510
01/01/2007,125.8970
01/02/2007,125.8970
01/03/2007,126.4800
01/04/2007,127.1620
01/05/2007,129.7780
01/06/2007,130.5290
01/07/2007,130.5750
01/08/2007,130.7870
01/09/2007,131.1840
01/10/2007,133.0210
01/11/2007,133.6590
01/12/2007,134.5460
01/01/2008,134.5460
01/02/2008,134.5460
01/03/2008,134.5460
01/04/2008,134.9350
01/05/2008,134.9350
01/06/2008,135.7870
01/07/2008,135.8260
01/08/2008,135.8750
01/09/2008,135.8750
01/10/2008,135.8750
01/11/2008,135.8750
01/12/2008,135.8750
01/01/2009,136.1750
01/02/2009,140.4340
01/03/2009,142.3970
01/04/2009,142.7450
01/05/2009,143.0500
01/06/2009,143.0810
01/07/2009,143.1520
01/08/2009,143.7700
01/09/2009,143.7700
01/10/2009,143.7700
01/11/2009,144.3350
01/12/2009,144.3750
01/01/2010,144.7030
01/02/2010,146.4870
01/03/2010,147.6980
01/04/2010,148.0730
01/05/2010,148.0730
01/06/2010,148.1470
01/07/2010,150.2770
01/08/2010,150.6220
01/09/2010,150.6220
01/10/2010,150.6220
01/11/2010,150.6220
01/12/2010,150.6220
01/01/2011,150.7670
01/02/2011,150.7670
01/03/2011,150.7670
01/04/2011,150.8100
01/05/2011,150.8100
01/06/2011,152.6250
