Fecha,Dato
01/12/2003,100.0000
01/01/2004,101.2350
01/02/2004,102.5420
01/03/2004,102.5420
01/04/2004,103.8130
01/05/2004,104.9260
01/06/2004,106.5790
01/07/2004,106.5790
01/08/2004,106.5790
01/09/2004,107.2150
01/10/2004,107.2150
01/11/2004,107.4020
01/12/2004,107.4020
01/01/2005,107.7020
01/02/2005,111.8110
01/03/2005,114.5670
01/04/2005,114.9720
01/05/2005,114.9720
01/06/2005,116.5370
01/07/2005,118.2510
01/08/2005,119.7030
01/09/2005,119.9290
01/10/2005,120.4570
01/11/2005,120.9030
01/12/2005,121.0770
01/01/2006,122.9930
01/02/2006,123.7920
01/03/2006,124.4270
01/04/2006,125.2650
01/05/2006,125.2650
01/06/2006,126.6280
01/07/2006,126.6280
01/08/2006,128.3230
01/09/2006,128.3230
01/10/2006,128.6660
01/11/2006,130.0340
01/12/2006,131.0360
01/01/2007,131.4400
01/02/2007,131.4400
01/03/2007,133.7540
01/04/2007,133.9540
01/05/2007,134.7880
01/06/2007,135.0260
01/07/2007,135.0260
01/08/2007,135.0260
01/09/2007,137.0720
01/10/2007,137.3980
01/11/2007,137.3980
01/12/2007,137.9070
01/01/2008,137.9070
01/02/2008,137.9070
01/03/2008,137.9070
01/04/2008,139.1040
01/05/2008,139.1040
01/06/2008,141.6030
01/07/2008,142.1040
01/08/2008,142.8170
01/09/2008,142.8170
01/10/2008,142.8170
01/11/2008,142.8170
01/12/2008,142.8170
01/01/2009,142.8170
01/02/2009,144.8890
01/03/2009,145.9630
01/04/2009,146.1940
01/05/2009,146.3090
01/06/2009,146.6200
01/07/2009,147.5050
01/08/2009,147.5050
01/09/2009,147.6760
01/10/2009,147.7490
01/11/2009,148.1930
01/12/2009,148.4040
01/01/2010,148.5120
01/02/2010,149.6050
01/03/2010,150.6610
01/04/2010,151.1640
01/05/2010,151.3230
01/06/2010,151.3230
01/07/2010,152.1940
01/08/2010,152.5070
01/09/2010,153.1200
01/10/2010,153.9510
01/11/2010,154.3070
01/12/2010,154.3070
01/01/2011,154.9510
01/02/2011,155.1630
01/03/2011,155.1630
01/04/2011,155.5020
01/05/2011,155.5020
01/06/2011,155.5020
