Fecha,Dato
01/12/2003,100.0000
01/01/2004,101.0080
01/02/2004,101.0080
01/03/2004,101.0080
01/04/2004,101.7680
01/05/2004,103.0800
01/06/2004,103.5870
01/07/2004,104.2810
01/08/2004,105.4120
01/09/2004,108.0900
01/10/2004,108.0900
01/11/2004,110.0470
01/12/2004,110.8260
01/01/2005,110.8690
01/02/2005,115.8010
01/03/2005,115.8010
01/04/2005,116.1210
01/05/2005,116.1210
01/06/2005,119.0520
01/07/2005,121.9150
01/08/2005,121.9150
01/09/2005,125.0070
01/10/2005,125.0070
01/11/2005,125.3110
01/12/2005,125.5770
01/01/2006,125.5770
01/02/2006,128.4880
01/03/2006,128.9790
01/04/2006,129.8110
01/05/2006,129.8110
01/06/2006,131.8190
01/07/2006,133.9280
01/08/2006,133.9280
01/09/2006,133.9280
01/10/2006,133.9280
01/11/2006,135.7550
01/12/2006,135.7550
01/01/2007,136.0750
01/02/2007,136.0750
01/03/2007,136.0750
01/04/2007,135.7320
01/05/2007,136.1120
01/06/2007,136.5470
01/07/2007,136.5470
01/08/2007,136.5470
01/09/2007,139.8380
01/10/2007,141.5540
01/11/2007,141.5540
01/12/2007,141.7180
01/01/2008,141.7180
01/02/2008,141.7180
01/03/2008,141.7180
01/04/2008,143.3460
01/05/2008,143.4200
01/06/2008,143.4200
01/07/2008,143.4200
01/08/2008,143.4200
01/09/2008,143.4200
01/10/2008,143.4200
01/11/2008,143.4200
01/12/2008,143.4200
01/01/2009,143.4200
01/02/2009,148.2210
01/03/2009,149.2080
01/04/2009,149.2080
01/05/2009,149.2080
01/06/2009,149.2080
01/07/2009,149.2080
01/08/2009,152.0540
01/09/2009,152.0540
01/10/2009,152.0540
01/11/2009,153.0220
01/12/2009,153.0220
01/01/2010,153.0220
01/02/2010,154.9500
01/03/2010,155.4830
01/04/2010,155.4830
01/05/2010,157.0650
01/06/2010,159.6200
01/07/2010,161.0320
01/08/2010,161.1440
01/09/2010,161.1440
01/10/2010,161.1440
01/11/2010,161.1440
01/12/2010,161.1440
01/01/2011,161.1440
01/02/2011,161.9110
01/03/2011,161.9110
01/04/2011,161.9110
01/05/2011,161.9110
01/06/2011,162.8390
