Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,98.9150
01/05/2004,102.3710
01/06/2004,104.6190
01/07/2004,104.6190
01/08/2004,104.6190
01/09/2004,104.6190
01/10/2004,104.6190
01/11/2004,104.8360
01/12/2004,104.8360
01/01/2005,104.8360
01/02/2005,104.8360
01/03/2005,105.7970
01/04/2005,108.6160
01/05/2005,108.6160
01/06/2005,108.6160
01/07/2005,108.6160
01/08/2005,108.6160
01/09/2005,108.6160
01/10/2005,108.6160
01/11/2005,108.6160
01/12/2005,108.6160
01/01/2006,108.9320
01/02/2006,108.9320
01/03/2006,108.9320
01/04/2006,109.7160
01/05/2006,110.1080
01/06/2006,110.1080
01/07/2006,110.1080
01/08/2006,110.1080
01/09/2006,111.6740
01/10/2006,110.8400
01/11/2006,110.8400
01/12/2006,110.8400
01/01/2007,110.8400
01/02/2007,110.8400
01/03/2007,110.8400
01/04/2007,110.8400
01/05/2007,110.8400
01/06/2007,110.8400
01/07/2007,111.4490
01/08/2007,113.1270
01/09/2007,114.6010
01/10/2007,114.6010
01/11/2007,114.6010
01/12/2007,115.6590
01/01/2008,116.4720
01/02/2008,118.2750
01/03/2008,120.4940
01/04/2008,120.4940
01/05/2008,121.7820
01/06/2008,121.9810
01/07/2008,121.9810
01/08/2008,125.7040
01/09/2008,126.7470
01/10/2008,126.7470
01/11/2008,129.1170
01/12/2008,132.3490
01/01/2009,135.3780
01/02/2009,135.3780
01/03/2009,135.3780
01/04/2009,138.9430
01/05/2009,138.9430
01/06/2009,138.9430
01/07/2009,138.9430
01/08/2009,138.9430
01/09/2009,138.9510
01/10/2009,138.9540
01/11/2009,138.9540
01/12/2009,138.9540
01/01/2010,138.9540
01/02/2010,138.9540
01/03/2010,139.3980
01/04/2010,139.3980
01/05/2010,139.3980
01/06/2010,139.6020
01/07/2010,139.6020
01/08/2010,139.6020
01/09/2010,140.3940
01/10/2010,141.0090
01/11/2010,141.0090
01/12/2010,141.2120
01/01/2011,142.2860
01/02/2011,146.5610
01/03/2011,145.8630
01/04/2011,145.2510
01/05/2011,145.4840
01/06/2011,146.4720
