Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,96.9970
01/03/2004,97.3920
01/04/2004,98.3840
01/05/2004,98.3840
01/06/2004,100.2030
01/07/2004,100.2030
01/08/2004,100.2030
01/09/2004,100.2030
01/10/2004,100.2030
01/11/2004,100.2030
01/12/2004,100.2030
01/01/2005,100.2030
01/02/2005,100.2030
01/03/2005,100.1900
01/04/2005,100.1900
01/05/2005,100.1900
01/06/2005,100.1900
01/07/2005,100.1900
01/08/2005,100.1900
01/09/2005,100.1900
01/10/2005,100.1900
01/11/2005,98.3150
01/12/2005,98.3150
01/01/2006,98.7440
01/02/2006,98.7440
01/03/2006,98.3790
01/04/2006,99.5510
01/05/2006,99.5510
01/06/2006,100.5280
01/07/2006,100.5280
01/08/2006,100.5280
01/09/2006,100.5280
01/10/2006,100.5280
01/11/2006,100.5280
01/12/2006,100.5280
01/01/2007,100.5280
01/02/2007,100.5280
01/03/2007,100.5280
01/04/2007,101.5860
01/05/2007,101.8180
01/06/2007,101.8180
01/07/2007,101.8180
01/08/2007,101.8180
01/09/2007,101.8180
01/10/2007,101.8180
01/11/2007,101.8180
01/12/2007,103.0580
01/01/2008,103.3060
01/02/2008,105.3730
01/03/2008,105.3730
01/04/2008,106.8160
01/05/2008,106.9030
01/06/2008,106.9030
01/07/2008,106.9030
01/08/2008,106.9030
01/09/2008,106.9030
01/10/2008,107.3690
01/11/2008,107.9010
01/12/2008,109.3290
01/01/2009,113.1300
01/02/2009,113.1300
01/03/2009,113.8980
01/04/2009,111.2890
01/05/2009,111.2890
01/06/2009,111.2890
01/07/2009,111.2890
01/08/2009,111.2890
01/09/2009,111.2890
01/10/2009,111.6820
01/11/2009,111.6820
01/12/2009,111.6820
01/01/2010,111.6870
01/02/2010,110.5370
01/03/2010,111.3100
01/04/2010,111.5060
01/05/2010,111.5060
01/06/2010,111.5060
01/07/2010,111.5060
01/08/2010,111.5060
01/09/2010,111.5060
01/10/2010,111.5060
01/11/2010,111.5060
01/12/2010,111.5060
01/01/2011,111.2340
01/02/2011,112.3270
01/03/2011,115.3700
01/04/2011,116.1020
01/05/2011,116.6770
01/06/2011,116.6770
