Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.6590
01/03/2004,101.3180
01/04/2004,102.7980
01/05/2004,102.7980
01/06/2004,106.5210
01/07/2004,106.5210
01/08/2004,106.9370
01/09/2004,110.4030
01/10/2004,110.4030
01/11/2004,111.2230
01/12/2004,116.1500
01/01/2005,116.1500
01/02/2005,119.3200
01/03/2005,119.3200
01/04/2005,119.3200
01/05/2005,121.6050
01/06/2005,122.9990
01/07/2005,122.9990
01/08/2005,122.9990
01/09/2005,123.2640
01/10/2005,123.2640
01/11/2005,123.6760
01/12/2005,123.7790
01/01/2006,126.3740
01/02/2006,124.9640
01/03/2006,124.9640
01/04/2006,124.9640
01/05/2006,124.9640
01/06/2006,124.9640
01/07/2006,124.9640
01/08/2006,125.6440
01/09/2006,125.6440
01/10/2006,125.6440
01/11/2006,127.1670
01/12/2006,127.1670
01/01/2007,129.2940
01/02/2007,129.6040
01/03/2007,129.6040
01/04/2007,129.6040
01/05/2007,129.6040
01/06/2007,129.6040
01/07/2007,129.6040
01/08/2007,129.6040
01/09/2007,129.6040
01/10/2007,129.6040
01/11/2007,129.6040
01/12/2007,129.6040
01/01/2008,130.2540
01/02/2008,131.4680
01/03/2008,131.4680
01/04/2008,131.4680
01/05/2008,131.4680
01/06/2008,131.4680
01/07/2008,137.7440
01/08/2008,137.7440
01/09/2008,137.7440
01/10/2008,138.6290
01/11/2008,140.9690
01/12/2008,143.6860
01/01/2009,143.6860
01/02/2009,143.6860
01/03/2009,143.6860
01/04/2009,145.4320
01/05/2009,145.4320
01/06/2009,145.4320
01/07/2009,145.4320
01/08/2009,145.4320
01/09/2009,145.6270
01/10/2009,145.6270
01/11/2009,145.6270
01/12/2009,145.6270
01/01/2010,146.8520
01/02/2010,146.8520
01/03/2010,147.4020
01/04/2010,147.9480
01/05/2010,147.9480
01/06/2010,148.9010
01/07/2010,148.9010
01/08/2010,148.9010
01/09/2010,148.9010
01/10/2010,150.1090
01/11/2010,150.1090
01/12/2010,151.1020
01/01/2011,151.1020
01/02/2011,151.1020
01/03/2011,152.1660
01/04/2011,152.1660
01/05/2011,152.1660
01/06/2011,154.2150
