Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,105.3120
01/05/2004,105.8900
01/06/2004,106.1220
01/07/2004,106.4040
01/08/2004,107.1090
01/09/2004,110.2090
01/10/2004,110.2090
01/11/2004,111.0750
01/12/2004,114.6490
01/01/2005,114.6490
01/02/2005,115.9950
01/03/2005,115.9950
01/04/2005,121.0560
01/05/2005,122.2010
01/06/2005,124.8660
01/07/2005,124.8660
01/08/2005,124.8660
01/09/2005,124.8660
01/10/2005,124.8660
01/11/2005,128.1310
01/12/2005,128.1310
01/01/2006,131.2770
01/02/2006,129.4630
01/03/2006,129.4630
01/04/2006,129.4630
01/05/2006,129.4630
01/06/2006,129.4630
01/07/2006,129.4630
01/08/2006,130.4180
01/09/2006,130.4180
01/10/2006,130.4180
01/11/2006,133.7120
01/12/2006,133.7120
01/01/2007,134.0920
01/02/2007,134.0920
01/03/2007,134.0920
01/04/2007,134.0920
01/05/2007,134.0920
01/06/2007,134.0920
01/07/2007,134.0920
01/08/2007,134.0920
01/09/2007,134.0920
01/10/2007,134.0920
01/11/2007,134.0920
01/12/2007,134.0920
01/01/2008,134.0920
01/02/2008,138.1830
01/03/2008,138.4990
01/04/2008,138.4990
01/05/2008,138.4990
01/06/2008,138.4990
01/07/2008,146.1960
01/08/2008,146.1960
01/09/2008,146.1960
01/10/2008,146.1960
01/11/2008,152.7050
01/12/2008,158.2550
01/01/2009,158.2550
01/02/2009,158.2550
01/03/2009,158.2550
01/04/2009,169.5940
01/05/2009,169.5940
01/06/2009,169.5940
01/07/2009,169.5940
01/08/2009,169.5940
01/09/2009,169.5940
01/10/2009,169.5940
01/11/2009,169.5940
01/12/2009,169.5940
01/01/2010,169.7080
01/02/2010,169.7080
01/03/2010,171.8820
01/04/2010,175.6260
01/05/2010,175.8590
01/06/2010,176.1980
01/07/2010,176.1980
01/08/2010,176.1980
01/09/2010,176.1980
01/10/2010,176.1980
01/11/2010,176.1980
01/12/2010,176.1980
01/01/2011,176.1980
01/02/2011,176.1980
01/03/2011,178.3480
01/04/2011,178.3480
01/05/2011,178.3480
01/06/2011,178.3480
