Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,103.1300
01/03/2004,103.1300
01/04/2004,104.1730
01/05/2004,104.1730
01/06/2004,107.3320
01/07/2004,107.6800
01/08/2004,107.6800
01/09/2004,109.5960
01/10/2004,109.5960
01/11/2004,110.1690
01/12/2004,114.5880
01/01/2005,114.7760
01/02/2005,118.9760
01/03/2005,123.5770
01/04/2005,126.6220
01/05/2005,126.6220
01/06/2005,126.6220
01/07/2005,126.6220
01/08/2005,126.6220
01/09/2005,126.6220
01/10/2005,126.6220
01/11/2005,128.2180
01/12/2005,128.2180
01/01/2006,130.7180
01/02/2006,131.1950
01/03/2006,131.1950
01/04/2006,132.8100
01/05/2006,132.1560
01/06/2006,130.3680
01/07/2006,130.9260
01/08/2006,130.9260
01/09/2006,130.9260
01/10/2006,130.9260
01/11/2006,136.7270
01/12/2006,136.7270
01/01/2007,137.2820
01/02/2007,138.1870
01/03/2007,138.5170
01/04/2007,138.5170
01/05/2007,138.5170
01/06/2007,138.5170
01/07/2007,138.5170
01/08/2007,138.5170
01/09/2007,138.5170
01/10/2007,138.5170
01/11/2007,138.5170
01/12/2007,138.5170
01/01/2008,140.1150
01/02/2008,142.2450
01/03/2008,142.2450
01/04/2008,142.2450
01/05/2008,142.2450
01/06/2008,142.2450
01/07/2008,147.4410
01/08/2008,147.4410
01/09/2008,147.4410
01/10/2008,149.0580
01/11/2008,150.9570
01/12/2008,154.0140
01/01/2009,154.0140
01/02/2009,154.0140
01/03/2009,154.0140
01/04/2009,162.0350
01/05/2009,162.0350
01/06/2009,162.0350
01/07/2009,162.0350
01/08/2009,162.0350
01/09/2009,162.5530
01/10/2009,162.5530
01/11/2009,162.5530
01/12/2009,162.5530
01/01/2010,167.0460
01/02/2010,167.0460
01/03/2010,167.0460
01/04/2010,168.6270
01/05/2010,168.6270
01/06/2010,168.6270
01/07/2010,168.6270
01/08/2010,168.6270
01/09/2010,168.6270
01/10/2010,168.6270
01/11/2010,168.6270
01/12/2010,169.8310
01/01/2011,169.8310
01/02/2011,169.8310
01/03/2011,171.4950
01/04/2011,171.4950
01/05/2011,171.4950
01/06/2011,171.4950
