Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,102.8530
01/03/2004,104.2780
01/04/2004,104.2780
01/05/2004,103.2120
01/06/2004,102.9360
01/07/2004,108.0070
01/08/2004,109.3890
01/09/2004,116.0680
01/10/2004,113.1900
01/11/2004,111.7510
01/12/2004,114.4820
01/01/2005,119.0220
01/02/2005,119.0220
01/03/2005,126.2880
01/04/2005,126.7550
01/05/2005,126.7550
01/06/2005,130.6210
01/07/2005,130.6210
01/08/2005,130.6210
01/09/2005,130.6210
01/10/2005,132.3080
01/11/2005,132.3080
01/12/2005,132.3080
01/01/2006,136.0550
01/02/2006,136.0550
01/03/2006,136.0550
01/04/2006,136.0550
01/05/2006,134.6810
01/06/2006,131.4760
01/07/2006,132.2130
01/08/2006,132.2130
01/09/2006,132.2130
01/10/2006,132.2130
01/11/2006,140.2840
01/12/2006,140.2840
01/01/2007,140.2840
01/02/2007,135.4050
01/03/2007,133.6300
01/04/2007,133.6300
01/05/2007,133.6300
01/06/2007,133.6300
01/07/2007,133.6300
01/08/2007,133.6300
01/09/2007,133.6300
01/10/2007,133.6300
01/11/2007,133.6300
01/12/2007,133.6300
01/01/2008,133.6300
01/02/2008,134.7250
01/03/2008,134.7250
01/04/2008,134.7250
01/05/2008,134.7250
01/06/2008,134.7250
01/07/2008,142.9310
01/08/2008,142.9310
01/09/2008,142.9310
01/10/2008,144.3130
01/11/2008,144.3130
01/12/2008,146.8990
01/01/2009,146.8990
01/02/2009,146.8990
01/03/2009,146.8990
01/04/2009,158.5510
01/05/2009,158.5510
01/06/2009,158.5510
01/07/2009,158.5510
01/08/2009,158.5510
01/09/2009,158.5510
01/10/2009,158.5510
01/11/2009,158.5510
01/12/2009,158.5510
01/01/2010,160.2390
01/02/2010,160.2390
01/03/2010,160.2390
01/04/2010,161.4550
01/05/2010,161.4550
01/06/2010,162.8370
01/07/2010,162.8370
01/08/2010,162.8370
01/09/2010,162.8370
01/10/2010,164.0590
01/11/2010,164.0590
01/12/2010,164.9740
01/01/2011,164.9740
01/02/2011,164.9740
01/03/2011,168.2580
01/04/2011,168.2580
01/05/2011,168.2580
01/06/2011,170.8150
