Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,101.5700
01/03/2004,102.2920
01/04/2004,102.2920
01/05/2004,102.2920
01/06/2004,110.9670
01/07/2004,111.2120
01/08/2004,114.5380
01/09/2004,123.7020
01/10/2004,123.7020
01/11/2004,124.3100
01/12/2004,134.3950
01/01/2005,134.5100
01/02/2005,134.5100
01/03/2005,136.9980
01/04/2005,137.2410
01/05/2005,146.9510
01/06/2005,147.1600
01/07/2005,147.1600
01/08/2005,147.1600
01/09/2005,147.1600
01/10/2005,147.1600
01/11/2005,147.1600
01/12/2005,147.1600
01/01/2006,151.9070
01/02/2006,153.6340
01/03/2006,153.6340
01/04/2006,153.6340
01/05/2006,153.6340
01/06/2006,153.6340
01/07/2006,154.0290
01/08/2006,157.4740
01/09/2006,157.4740
01/10/2006,157.4740
01/11/2006,163.2710
01/12/2006,163.2710
01/01/2007,163.2710
01/02/2007,163.9270
01/03/2007,164.1650
01/04/2007,164.1650
01/05/2007,164.1650
01/06/2007,164.1650
01/07/2007,164.1650
01/08/2007,164.1650
01/09/2007,164.1650
01/10/2007,166.6100
01/11/2007,168.7500
01/12/2007,168.7500
01/01/2008,169.5700
01/02/2008,169.5700
01/03/2008,169.5700
01/04/2008,169.5700
01/05/2008,169.5700
01/06/2008,169.5700
01/07/2008,196.8530
01/08/2008,196.8530
01/09/2008,196.8530
01/10/2008,198.4360
01/11/2008,204.4040
01/12/2008,206.6110
01/01/2009,206.6110
01/02/2009,206.6110
01/03/2009,206.6110
01/04/2009,207.1790
01/05/2009,207.1790
01/06/2009,207.1790
01/07/2009,207.1790
01/08/2009,207.1790
01/09/2009,207.1790
01/10/2009,207.1790
01/11/2009,207.1790
01/12/2009,207.1790
01/01/2010,203.6640
01/02/2010,203.6640
01/03/2010,203.6640
01/04/2010,205.6940
01/05/2010,205.6940
01/06/2010,205.6940
01/07/2010,205.6940
01/08/2010,205.6940
01/09/2010,205.6940
01/10/2010,205.6940
01/11/2010,209.9510
01/12/2010,211.8120
01/01/2011,211.8120
01/02/2011,211.8120
01/03/2011,211.8120
01/04/2011,211.8120
01/05/2011,211.8120
01/06/2011,211.8120
