Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,107.8250
01/03/2004,124.3660
01/04/2004,135.8150
01/05/2004,142.5960
01/06/2004,113.4210
01/07/2004,110.8250
01/08/2004,115.2730
01/09/2004,120.9400
01/10/2004,125.0250
01/11/2004,125.7180
01/12/2004,127.7840
01/01/2005,123.3380
01/02/2005,123.7320
01/03/2005,129.9660
01/04/2005,130.2870
01/05/2005,133.9820
01/06/2005,137.9170
01/07/2005,135.7270
01/08/2005,135.7270
01/09/2005,135.7270
01/10/2005,151.7960
01/11/2005,182.6160
01/12/2005,182.6160
01/01/2006,182.6160
01/02/2006,182.6160
01/03/2006,182.6160
01/04/2006,194.2530
01/05/2006,197.5980
01/06/2006,196.2410
01/07/2006,175.6580
01/08/2006,181.3700
01/09/2006,171.9270
01/10/2006,171.9270
01/11/2006,171.9270
01/12/2006,171.9270
01/01/2007,169.7670
01/02/2007,164.9620
01/03/2007,164.9620
01/04/2007,170.0460
01/05/2007,195.0760
01/06/2007,189.0280
01/07/2007,172.5770
01/08/2007,172.3750
01/09/2007,172.3750
01/10/2007,172.3750
01/11/2007,172.3750
01/12/2007,175.6660
01/01/2008,180.0570
01/02/2008,187.9960
01/03/2008,195.7700
01/04/2008,196.0570
01/05/2008,202.5480
01/06/2008,203.5750
01/07/2008,203.1340
01/08/2008,203.1340
01/09/2008,223.9090
01/10/2008,245.2630
01/11/2008,260.9650
01/12/2008,270.1310
01/01/2009,269.6860
01/02/2009,283.6700
01/03/2009,295.3620
01/04/2009,290.4720
01/05/2009,289.8040
01/06/2009,289.8040
01/07/2009,297.8130
01/08/2009,318.8140
01/09/2009,306.2790
01/10/2009,306.0070
01/11/2009,292.8620
01/12/2009,286.9810
01/01/2010,288.3210
01/02/2010,289.9610
01/03/2010,313.3410
01/04/2010,323.2680
01/05/2010,341.6300
01/06/2010,335.6520
01/07/2010,347.0010
01/08/2010,348.1790
01/09/2010,347.5090
01/10/2010,351.5290
01/11/2010,363.4530
01/12/2010,365.8790
01/01/2011,365.1480
01/02/2011,364.9190
01/03/2011,373.7990
01/04/2011,389.5620
01/05/2011,389.2600
01/06/2011,393.8900
