Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.9930
01/02/2004,99.9360
01/03/2004,99.9110
01/04/2004,99.8990
01/05/2004,99.8870
01/06/2004,100.3640
01/07/2004,100.5340
01/08/2004,100.8800
01/09/2004,100.1880
01/10/2004,102.2290
01/11/2004,106.1080
01/12/2004,106.5220
01/01/2005,106.2150
01/02/2005,107.8910
01/03/2005,108.4070
01/04/2005,109.8330
01/05/2005,109.8040
01/06/2005,111.1120
01/07/2005,110.7380
01/08/2005,110.7380
01/09/2005,112.2110
01/10/2005,112.4340
01/11/2005,114.2030
01/12/2005,114.7270
01/01/2006,118.0430
01/02/2006,117.1940
01/03/2006,116.0310
01/04/2006,118.6810
01/05/2006,121.4740
01/06/2006,122.9630
01/07/2006,122.9630
01/08/2006,121.1020
01/09/2006,120.6870
01/10/2006,120.3270
01/11/2006,119.6470
01/12/2006,118.6940
01/01/2007,117.9250
01/02/2007,117.8750
01/03/2007,119.8030
01/04/2007,121.1810
01/05/2007,121.7590
01/06/2007,121.9890
01/07/2007,121.2470
01/08/2007,122.7870
01/09/2007,124.2220
01/10/2007,125.1390
01/11/2007,123.9530
01/12/2007,122.2700
01/01/2008,122.2700
01/02/2008,123.2710
01/03/2008,123.2710
01/04/2008,130.6410
01/05/2008,130.6410
01/06/2008,130.8410
01/07/2008,132.4770
01/08/2008,136.0120
01/09/2008,136.0120
01/10/2008,146.7610
01/11/2008,146.2320
01/12/2008,147.8670
01/01/2009,147.8670
01/02/2009,143.1700
01/03/2009,144.3370
01/04/2009,144.3370
01/05/2009,145.2680
01/06/2009,145.2680
01/07/2009,146.4020
01/08/2009,148.5200
01/09/2009,148.4040
01/10/2009,148.9260
01/11/2009,159.3510
01/12/2009,153.7950
01/01/2010,155.8990
01/02/2010,155.8990
01/03/2010,156.0130
01/04/2010,156.0130
01/05/2010,155.4580
01/06/2010,155.4580
01/07/2010,155.0140
01/08/2010,155.0140
01/09/2010,155.0140
01/10/2010,155.5020
01/11/2010,155.5020
01/12/2010,155.5020
01/01/2011,154.9170
01/02/2011,155.5020
01/03/2011,155.5020
01/04/2011,155.5020
01/05/2011,155.8350
01/06/2011,155.8350
