Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.2900
01/02/2004,101.0100
01/03/2004,100.8300
01/04/2004,101.7300
01/05/2004,102.1000
01/06/2004,103.9800
01/07/2004,107.2400
01/08/2004,110.2500
01/09/2004,110.4200
01/10/2004,110.3900
01/11/2004,110.5200
01/12/2004,110.7800
01/01/2005,111.1700
01/02/2005,112.0000
01/03/2005,112.3500
01/04/2005,112.8700
01/05/2005,113.2000
01/06/2005,114.3600
01/07/2005,114.8400
01/08/2005,114.9700
01/09/2005,115.4900
01/10/2005,115.8000
01/11/2005,116.7300
01/12/2005,117.9100
01/01/2006,119.0700
01/02/2006,119.6800
01/03/2006,121.6100
01/04/2006,122.1300
01/05/2006,123.7600
01/06/2006,126.6000
01/07/2006,126.6800
01/08/2006,126.9000
01/09/2006,127.0400
01/10/2006,127.1800
01/11/2006,127.3600
01/12/2006,127.5800
01/01/2007,127.9800
01/02/2007,128.6100
01/03/2007,128.8000
01/04/2007,129.2800
01/05/2007,129.4200
01/06/2007,129.7900
01/07/2007,130.1000
01/08/2007,130.4000
01/09/2007,129.7000
01/10/2007,129.4800
01/11/2007,129.3000
01/12/2007,129.6100
01/01/2008,130.7300
01/02/2008,131.3400
01/03/2008,132.2600
01/04/2008,133.3600
01/05/2008,133.6600
01/06/2008,134.2300
01/07/2008,135.3500
01/08/2008,135.9900
01/09/2008,136.8100
01/10/2008,138.0400
01/11/2008,140.4100
01/12/2008,141.0500
01/01/2009,141.4300
01/02/2009,141.5700
01/03/2009,142.1200
01/04/2009,141.1100
01/05/2009,140.6900
01/06/2009,139.7600
01/07/2009,139.3100
01/08/2009,138.8300
01/09/2009,139.0900
01/10/2009,138.6710
01/11/2009,138.2030
01/12/2009,137.8400
01/01/2010,139.2900
01/02/2010,140.2170
01/03/2010,140.0210
01/04/2010,139.8900
01/05/2010,139.9870
01/06/2010,140.6820
01/07/2010,139.5820
01/08/2010,139.9810
01/09/2010,139.5750
01/10/2010,139.2790
01/11/2010,139.6730
01/12/2010,140.1780
01/01/2011,142.4440
01/02/2011,143.2740
01/03/2011,142.4970
01/04/2011,142.4030
01/05/2011,142.7940
01/06/2011,143.6770
