Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.6800
01/02/2004,100.7600
01/03/2004,102.4000
01/04/2004,102.8900
01/05/2004,103.6500
01/06/2004,103.9100
01/07/2004,103.7800
01/08/2004,104.1100
01/09/2004,104.7600
01/10/2004,104.6400
01/11/2004,104.4600
01/12/2004,105.1100
01/01/2005,106.8700
01/02/2005,107.5100
01/03/2005,108.5200
01/04/2005,109.4200
01/05/2005,108.9800
01/06/2005,108.9300
01/07/2005,109.1400
01/08/2005,109.0900
01/09/2005,109.2800
01/10/2005,109.6400
01/11/2005,109.7500
01/12/2005,110.3600
01/01/2006,110.8700
01/02/2006,112.0300
01/03/2006,112.9600
01/04/2006,113.0200
01/05/2006,113.2200
01/06/2006,114.5200
01/07/2006,115.1300
01/08/2006,115.3400
01/09/2006,115.3200
01/10/2006,114.9000
01/11/2006,115.4100
01/12/2006,115.5100
01/01/2007,116.1100
01/02/2007,117.1700
01/03/2007,117.1700
01/04/2007,117.2000
01/05/2007,117.4000
01/06/2007,116.8700
01/07/2007,117.2000
01/08/2007,117.0700
01/09/2007,117.5800
01/10/2007,118.0200
01/11/2007,117.8500
01/12/2007,118.3300
01/01/2008,121.7700
01/02/2008,122.6700
01/03/2008,123.4400
01/04/2008,124.6500
01/05/2008,125.2200
01/06/2008,125.8500
01/07/2008,127.2100
01/08/2008,129.8800
01/09/2008,131.7300
01/10/2008,132.5400
01/11/2008,132.4700
01/12/2008,133.1900
01/01/2009,134.1100
01/02/2009,134.4400
01/03/2009,135.3000
01/04/2009,136.7100
01/05/2009,136.9800
01/06/2009,137.9800
01/07/2009,137.1700
01/08/2009,137.2700
01/09/2009,137.9400
01/10/2009,137.4950
01/11/2009,137.4830
01/12/2009,137.8710
01/01/2010,138.1370
01/02/2010,138.3460
01/03/2010,137.9890
01/04/2010,138.8940
01/05/2010,138.6820
01/06/2010,138.8880
01/07/2010,139.2480
01/08/2010,139.9140
01/09/2010,140.6530
01/10/2010,141.4890
01/11/2010,143.6560
01/12/2010,146.6850
01/01/2011,148.8470
01/02/2011,149.5440
01/03/2011,149.0870
01/04/2011,149.7850
01/05/2011,151.0250
01/06/2011,152.0660
