Fecha,Dato
01/12/2003,100.0000
01/01/2004,102.7210
01/02/2004,102.8450
01/03/2004,103.0700
01/04/2004,105.9450
01/05/2004,106.6210
01/06/2004,107.0270
01/07/2004,106.8290
01/08/2004,106.9590
01/09/2004,107.0110
01/10/2004,108.4990
01/11/2004,108.5110
01/12/2004,108.6180
01/01/2005,108.8940
01/02/2005,109.1020
01/03/2005,109.7000
01/04/2005,109.6150
01/05/2005,109.8070
01/06/2005,110.9110
01/07/2005,110.2410
01/08/2005,110.2520
01/09/2005,110.2350
01/10/2005,110.0770
01/11/2005,110.6010
01/12/2005,110.6180
01/01/2006,111.0750
01/02/2006,114.4610
01/03/2006,114.9850
01/04/2006,114.9850
01/05/2006,115.6220
01/06/2006,116.4560
01/07/2006,116.4050
01/08/2006,116.6980
01/09/2006,116.7150
01/10/2006,116.3990
01/11/2006,116.4110
01/12/2006,116.3150
01/01/2007,119.8650
01/02/2007,121.6290
01/03/2007,122.7390
01/04/2007,122.7110
01/05/2007,121.7640
01/06/2007,121.8710
01/07/2007,121.0090
01/08/2007,122.6150
01/09/2007,121.8090
01/10/2007,121.7370
01/11/2007,121.6920
01/12/2007,121.7910
01/01/2008,125.8980
01/02/2008,127.6380
01/03/2008,128.9640
01/04/2008,129.4690
01/05/2008,130.5240
01/06/2008,131.0560
01/07/2008,131.9400
01/08/2008,132.4540
01/09/2008,132.8600
01/10/2008,133.5000
01/11/2008,133.7980
01/12/2008,133.9060
01/01/2009,133.7710
01/02/2009,134.9880
01/03/2009,135.1860
01/04/2009,135.6010
01/05/2009,135.7550
01/06/2009,135.5560
01/07/2009,135.6460
01/08/2009,135.6730
01/09/2009,135.7090
01/10/2009,135.2900
01/11/2009,134.8130
01/12/2009,134.9300
01/01/2010,134.8880
01/02/2010,135.2160
01/03/2010,135.7330
01/04/2010,136.3170
01/05/2010,136.4490
01/06/2010,136.6380
01/07/2010,138.2760
01/08/2010,138.3170
01/09/2010,138.5990
01/10/2010,138.4630
01/11/2010,138.4430
01/12/2010,138.5110
01/01/2011,139.2300
01/02/2011,139.7810
01/03/2011,140.5480
01/04/2011,141.1000
01/05/2011,141.3970
01/06/2011,141.5640
