Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,113.8080
01/03/2004,120.9190
01/04/2004,142.7010
01/05/2004,173.4050
01/06/2004,173.4050
01/07/2004,169.9020
01/08/2004,191.8070
01/09/2004,191.8070
01/10/2004,191.8070
01/11/2004,191.8070
01/12/2004,191.8070
01/01/2005,191.8070
01/02/2005,184.1700
01/03/2005,184.1700
01/04/2005,180.1440
01/05/2005,177.5750
01/06/2005,175.4690
01/07/2005,175.4690
01/08/2005,164.1930
01/09/2005,164.4960
01/10/2005,172.4720
01/11/2005,165.7750
01/12/2005,163.6230
01/01/2006,166.4160
01/02/2006,163.7480
01/03/2006,163.7480
01/04/2006,185.6550
01/05/2006,190.0540
01/06/2006,190.9760
01/07/2006,202.9490
01/08/2006,203.9610
01/09/2006,197.9670
01/10/2006,197.9670
01/11/2006,197.9670
01/12/2006,190.3100
01/01/2007,179.7700
01/02/2007,184.4040
01/03/2007,187.8480
01/04/2007,190.1970
01/05/2007,199.7070
01/06/2007,196.4570
01/07/2007,194.5740
01/08/2007,192.7070
01/09/2007,192.1760
01/10/2007,196.2310
01/11/2007,193.9140
01/12/2007,193.3030
01/01/2008,189.6500
01/02/2008,201.7020
01/03/2008,213.6580
01/04/2008,230.3930
01/05/2008,250.6350
01/06/2008,274.8200
01/07/2008,286.7280
01/08/2008,288.1280
01/09/2008,291.2330
01/10/2008,282.7850
01/11/2008,281.6430
01/12/2008,261.3200
01/01/2009,239.0340
01/02/2009,221.2690
01/03/2009,218.4210
01/04/2009,223.8920
01/05/2009,205.4030
01/06/2009,195.0890
01/07/2009,195.5550
01/08/2009,196.6820
01/09/2009,194.5420
01/10/2009,193.6370
01/11/2009,191.6620
01/12/2009,192.0090
01/01/2010,193.4240
01/02/2010,198.7010
01/03/2010,200.3140
01/04/2010,199.6420
01/05/2010,202.2820
01/06/2010,203.0620
01/07/2010,202.6900
01/08/2010,200.6770
01/09/2010,197.0450
01/10/2010,200.5090
01/11/2010,197.9350
01/12/2010,199.5300
01/01/2011,202.7900
01/02/2011,210.3110
01/03/2011,213.2490
01/04/2011,209.4890
01/05/2011,208.6070
01/06/2011,208.7010
