Fecha,Dato
01/12/2003,100.0000
01/01/2004,103.5340
01/02/2004,111.8880
01/03/2004,127.3190
01/04/2004,146.5570
01/05/2004,146.5570
01/06/2004,144.5500
01/07/2004,144.3280
01/08/2004,156.4830
01/09/2004,156.1890
01/10/2004,157.0980
01/11/2004,157.5510
01/12/2004,157.5510
01/01/2005,158.3060
01/02/2005,158.3060
01/03/2005,158.3060
01/04/2005,161.9860
01/05/2005,161.9860
01/06/2005,166.4190
01/07/2005,175.8690
01/08/2005,175.4980
01/09/2005,175.4980
01/10/2005,181.2120
01/11/2005,188.8150
01/12/2005,207.3370
01/01/2006,209.1960
01/02/2006,213.4320
01/03/2006,214.4850
01/04/2006,223.8040
01/05/2006,334.2350
01/06/2006,397.1320
01/07/2006,399.9230
01/08/2006,399.9230
01/09/2006,394.9680
01/10/2006,393.9770
01/11/2006,393.9770
01/12/2006,393.9770
01/01/2007,393.9770
01/02/2007,393.9770
01/03/2007,379.2490
01/04/2007,439.2920
01/05/2007,476.2190
01/06/2007,476.2190
01/07/2007,479.8390
01/08/2007,484.8550
01/09/2007,489.9920
01/10/2007,514.8790
01/11/2007,522.3210
01/12/2007,509.0390
01/01/2008,521.1860
01/02/2008,534.2620
01/03/2008,537.5250
01/04/2008,513.8670
01/05/2008,513.8670
01/06/2008,493.7600
01/07/2008,493.7600
01/08/2008,482.1670
01/09/2008,466.7010
01/10/2008,473.7100
01/11/2008,448.0570
01/12/2008,448.0570
01/01/2009,420.9900
01/02/2009,389.6430
01/03/2009,353.0700
01/04/2009,353.3100
01/05/2009,353.3100
01/06/2009,381.3440
01/07/2009,400.6520
01/08/2009,435.1710
01/09/2009,444.4100
01/10/2009,450.2050
01/11/2009,461.7460
01/12/2009,490.0570
01/01/2010,534.9990
01/02/2010,537.0090
01/03/2010,537.0090
01/04/2010,542.1250
01/05/2010,524.2430
01/06/2010,498.7070
01/07/2010,511.4650
01/08/2010,536.7490
01/09/2010,557.4240
01/10/2010,566.8810
01/11/2010,574.6960
01/12/2010,565.3980
01/01/2011,653.0800
01/02/2011,660.7060
01/03/2011,662.6670
01/04/2011,662.5050
01/05/2011,662.4160
01/06/2011,615.0850
