Fecha,Dato
01/12/2003,100.0000
01/01/2004,108.1790
01/02/2004,120.9720
01/03/2004,133.4810
01/04/2004,148.1530
01/05/2004,148.1530
01/06/2004,155.5600
01/07/2004,155.5600
01/08/2004,157.9360
01/09/2004,160.9690
01/10/2004,168.9920
01/11/2004,168.9920
01/12/2004,168.9920
01/01/2005,168.9920
01/02/2005,168.9920
01/03/2005,168.9920
01/04/2005,174.2060
01/05/2005,174.2060
01/06/2005,185.2890
01/07/2005,193.5200
01/08/2005,199.2560
01/09/2005,213.8240
01/10/2005,226.3540
01/11/2005,240.5650
01/12/2005,259.2040
01/01/2006,269.1600
01/02/2006,281.4110
01/03/2006,281.9000
01/04/2006,306.5920
01/05/2006,398.5110
01/06/2006,454.3740
01/07/2006,454.3740
01/08/2006,454.3740
01/09/2006,335.2510
01/10/2006,335.2510
01/11/2006,335.2510
01/12/2006,335.2510
01/01/2007,335.2510
01/02/2007,323.4750
01/03/2007,345.8550
01/04/2007,370.6680
01/05/2007,403.8260
01/06/2007,409.4110
01/07/2007,414.9860
01/08/2007,424.6130
01/09/2007,424.6130
01/10/2007,391.9190
01/11/2007,391.9190
01/12/2007,391.9190
01/01/2008,408.1630
01/02/2008,443.3080
01/03/2008,463.3250
01/04/2008,481.4840
01/05/2008,490.5650
01/06/2008,490.5650
01/07/2008,490.5650
01/08/2008,490.5650
01/09/2008,490.5650
01/10/2008,500.3910
01/11/2008,508.8330
01/12/2008,508.8330
01/01/2009,565.9690
01/02/2009,565.6840
01/03/2009,527.1160
01/04/2009,607.6950
01/05/2009,545.8930
01/06/2009,585.9040
01/07/2009,613.7710
01/08/2009,686.5650
01/09/2009,714.4680
01/10/2009,732.8720
01/11/2009,774.7620
01/12/2009,786.2390
01/01/2010,839.8610
01/02/2010,846.3210
01/03/2010,806.8430
01/04/2010,804.0230
01/05/2010,778.8430
01/06/2010,748.6590
01/07/2010,747.5820
01/08/2010,795.9750
01/09/2010,844.1620
01/10/2010,892.0460
01/11/2010,897.0080
01/12/2010,897.0080
01/01/2011,963.8070
01/02/2011,968.2680
01/03/2011,968.2680
01/04/2011,968.2680
01/05/2011,968.2680
01/06/2011,968.2680
