Fecha,Dato
01/12/2003,100.0000
01/01/2004,109.0820
01/02/2004,112.0520
01/03/2004,125.5090
01/04/2004,125.3360
01/05/2004,106.3180
01/06/2004,105.3550
01/07/2004,114.4210
01/08/2004,119.8860
01/09/2004,115.8580
01/10/2004,127.6420
01/11/2004,134.8440
01/12/2004,125.7940
01/01/2005,117.5090
01/02/2005,123.7720
01/03/2005,127.6810
01/04/2005,125.0750
01/05/2005,121.8840
01/06/2005,125.1070
01/07/2005,118.5040
01/08/2005,118.6540
01/09/2005,121.8290
01/10/2005,131.2040
01/11/2005,132.9330
01/12/2005,144.8190
01/01/2006,152.8430
01/02/2006,157.8580
01/03/2006,175.5960
01/04/2006,219.5860
01/05/2006,235.0810
01/06/2006,194.6690
01/07/2006,195.9320
01/08/2006,209.1850
01/09/2006,202.3930
01/10/2006,199.5500
01/11/2006,222.5240
01/12/2006,229.2920
01/01/2007,221.6790
01/02/2007,241.5570
01/03/2007,231.6460
01/04/2007,238.5880
01/05/2007,224.9720
01/06/2007,224.7430
01/07/2007,220.1150
01/08/2007,215.5580
01/09/2007,224.0320
01/10/2007,234.2360
01/11/2007,252.2500
01/12/2007,246.2880
01/01/2008,246.5640
01/02/2008,299.1940
01/03/2008,330.6580
01/04/2008,291.0590
01/05/2008,281.6300
01/06/2008,276.8590
01/07/2008,291.7700
01/08/2008,234.7810
01/09/2008,209.5240
01/10/2008,205.2670
01/11/2008,204.7220
01/12/2008,217.3110
01/01/2009,246.8400
01/02/2009,307.6210
01/03/2009,306.4040
01/04/2009,265.9370
01/05/2009,294.0680
01/06/2009,309.0420
01/07/2009,281.8980
01/08/2009,294.3610
01/09/2009,346.6820
01/10/2009,361.5550
01/11/2009,369.7670
01/12/2009,358.4150
01/01/2010,360.1090
01/02/2010,324.6130
01/03/2010,340.6700
01/04/2010,349.4900
01/05/2010,368.7220
01/06/2010,370.8700
01/07/2010,364.0800
01/08/2010,368.7780
01/09/2010,416.8750
01/10/2010,460.0790
01/11/2010,516.4690
01/12/2010,570.9150
01/01/2011,545.1610
01/02/2011,586.9540
01/03/2011,679.8100
01/04/2011,766.9460
01/05/2011,672.9500
01/06/2011,668.7420
