Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,125.5650
01/04/2004,125.5650
01/05/2004,137.5870
01/06/2004,137.5870
01/07/2004,137.5870
01/08/2004,155.1850
01/09/2004,155.1850
01/10/2004,155.1850
01/11/2004,155.1850
01/12/2004,155.1850
01/01/2005,155.1850
01/02/2005,148.6730
01/03/2005,148.6730
01/04/2005,148.6730
01/05/2005,148.6730
01/06/2005,148.6730
01/07/2005,148.6730
01/08/2005,140.1090
01/09/2005,143.1080
01/10/2005,148.0760
01/11/2005,151.3330
01/12/2005,153.9010
01/01/2006,154.5450
01/02/2006,152.3620
01/03/2006,153.0870
01/04/2006,158.7380
01/05/2006,178.9180
01/06/2006,183.3090
01/07/2006,198.7960
01/08/2006,204.7810
01/09/2006,200.5060
01/10/2006,200.4980
01/11/2006,199.6530
01/12/2006,189.8930
01/01/2007,182.6250
01/02/2007,190.5950
01/03/2007,191.1270
01/04/2007,196.5190
01/05/2007,206.0500
01/06/2007,199.8480
01/07/2007,203.8090
01/08/2007,205.8800
01/09/2007,205.0550
01/10/2007,205.0550
01/11/2007,205.2290
01/12/2007,205.3170
01/01/2008,203.4660
01/02/2008,215.8620
01/03/2008,229.5170
01/04/2008,239.9100
01/05/2008,254.9550
01/06/2008,268.5970
01/07/2008,274.9060
01/08/2008,283.0380
01/09/2008,283.3500
01/10/2008,283.8270
01/11/2008,284.1510
01/12/2008,271.5660
01/01/2009,262.5620
01/02/2009,227.3370
01/03/2009,223.1690
01/04/2009,225.7240
01/05/2009,202.1560
01/06/2009,193.7650
01/07/2009,194.3290
01/08/2009,195.4850
01/09/2009,191.1060
01/10/2009,189.0220
01/11/2009,187.5980
01/12/2009,186.8460
01/01/2010,190.5420
01/02/2010,192.8900
01/03/2010,196.6310
01/04/2010,196.9250
01/05/2010,196.9460
01/06/2010,194.3180
01/07/2010,196.5580
01/08/2010,196.5250
01/09/2010,192.5440
01/10/2010,195.3830
01/11/2010,192.1760
01/12/2010,196.0400
01/01/2011,202.5590
01/02/2011,210.0410
01/03/2011,212.7630
01/04/2011,212.6210
01/05/2011,207.7280
01/06/2011,207.1470
