Fecha,Dato
01/12/2003,100.0000
01/01/2004,103.0860
01/02/2004,121.3200
01/03/2004,126.6260
01/04/2004,137.2180
01/05/2004,139.4790
01/06/2004,140.7670
01/07/2004,141.1040
01/08/2004,141.1040
01/09/2004,141.1040
01/10/2004,142.7530
01/11/2004,142.7530
01/12/2004,142.7530
01/01/2005,142.7530
01/02/2005,143.3830
01/03/2005,143.3830
01/04/2005,143.3830
01/05/2005,143.3830
01/06/2005,143.3830
01/07/2005,143.3830
01/08/2005,136.4500
01/09/2005,136.4500
01/10/2005,136.4500
01/11/2005,136.4500
01/12/2005,136.4500
01/01/2006,136.4500
01/02/2006,137.0420
01/03/2006,137.0420
01/04/2006,137.8800
01/05/2006,137.8800
01/06/2006,145.6330
01/07/2006,149.5020
01/08/2006,149.5020
01/09/2006,149.5020
01/10/2006,149.5020
01/11/2006,149.5020
01/12/2006,150.3800
01/01/2007,150.3800
01/02/2007,148.0800
01/03/2007,148.7510
01/04/2007,148.7510
01/05/2007,148.7510
01/06/2007,148.7510
01/07/2007,139.7730
01/08/2007,139.7730
01/09/2007,139.7730
01/10/2007,137.2770
01/11/2007,137.2770
01/12/2007,137.2770
01/01/2008,137.2770
01/02/2008,138.0420
01/03/2008,138.0420
01/04/2008,150.2200
01/05/2008,172.9940
01/06/2008,184.8070
01/07/2008,199.3380
01/08/2008,197.3970
01/09/2008,197.3970
01/10/2008,202.9580
01/11/2008,204.1290
01/12/2008,205.6630
01/01/2009,201.7470
01/02/2009,203.2770
01/03/2009,203.2770
01/04/2009,203.2770
01/05/2009,203.2770
01/06/2009,192.8640
01/07/2009,192.8640
01/08/2009,195.7380
01/09/2009,196.9700
01/10/2009,196.9700
01/11/2009,196.9700
01/12/2009,196.9700
01/01/2010,196.9700
01/02/2010,197.7350
01/03/2010,197.7350
01/04/2010,197.7350
01/05/2010,198.2020
01/06/2010,198.2020
01/07/2010,198.2020
01/08/2010,198.2020
01/09/2010,173.9500
01/10/2010,176.4680
01/11/2010,179.6060
01/12/2010,179.6440
01/01/2011,179.5290
01/02/2011,187.8890
01/03/2011,190.5470
01/04/2011,190.4230
01/05/2011,190.3750
01/06/2011,190.4440
