Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,116.7100
01/03/2004,122.2800
01/04/2004,158.0310
01/05/2004,158.0310
01/06/2004,166.0620
01/07/2004,166.0620
01/08/2004,166.0620
01/09/2004,166.0620
01/10/2004,166.0620
01/11/2004,166.0620
01/12/2004,166.0620
01/01/2005,166.0620
01/02/2005,166.0620
01/03/2005,166.0620
01/04/2005,166.0620
01/05/2005,166.0620
01/06/2005,166.0620
01/07/2005,167.2990
01/08/2005,167.2990
01/09/2005,158.7220
01/10/2005,158.7220
01/11/2005,161.8420
01/12/2005,161.8420
01/01/2006,161.8420
01/02/2006,161.8420
01/03/2006,161.8420
01/04/2006,161.8420
01/05/2006,166.4840
01/06/2006,166.4840
01/07/2006,166.4840
01/08/2006,166.4840
01/09/2006,182.9850
01/10/2006,182.9850
01/11/2006,182.9850
01/12/2006,184.9450
01/01/2007,184.9450
01/02/2007,184.9450
01/03/2007,184.9450
01/04/2007,184.9450
01/05/2007,184.9450
01/06/2007,184.9450
01/07/2007,184.9450
01/08/2007,184.9450
01/09/2007,184.9450
01/10/2007,184.9450
01/11/2007,184.9450
01/12/2007,184.9450
01/01/2008,184.9450
01/02/2008,184.9450
01/03/2008,184.9450
01/04/2008,202.1860
01/05/2008,223.3370
01/06/2008,219.4480
01/07/2008,216.4750
01/08/2008,218.0560
01/09/2008,218.0560
01/10/2008,218.0560
01/11/2008,218.0560
01/12/2008,218.0560
01/01/2009,202.7050
01/02/2009,202.7050
01/03/2009,202.7050
01/04/2009,203.7030
01/05/2009,203.7030
01/06/2009,203.7030
01/07/2009,203.7030
01/08/2009,203.7030
01/09/2009,202.1190
01/10/2009,202.1190
01/11/2009,202.1190
01/12/2009,202.1190
01/01/2010,202.1190
01/02/2010,202.1190
01/03/2010,202.1190
01/04/2010,215.7360
01/05/2010,214.4930
01/06/2010,216.1750
01/07/2010,216.1750
01/08/2010,216.1750
01/09/2010,216.1750
01/10/2010,216.1750
01/11/2010,216.1750
01/12/2010,216.1750
01/01/2011,216.1750
01/02/2011,216.1750
01/03/2011,219.4890
01/04/2011,219.4890
01/05/2011,219.4890
01/06/2011,219.4890
