Fecha,Dato
01/12/2003,100.0000
01/01/2004,103.7330
01/02/2004,106.1180
01/03/2004,124.0650
01/04/2004,129.6670
01/05/2004,130.2940
01/06/2004,131.7780
01/07/2004,131.7780
01/08/2004,131.7780
01/09/2004,138.0390
01/10/2004,152.6840
01/11/2004,152.2880
01/12/2004,152.2880
01/01/2005,152.2880
01/02/2005,153.2010
01/03/2005,153.9490
01/04/2005,153.9490
01/05/2005,152.8700
01/06/2005,152.8700
01/07/2005,151.2630
01/08/2005,151.2630
01/09/2005,151.2630
01/10/2005,151.9900
01/11/2005,151.9900
01/12/2005,151.9900
01/01/2006,154.9470
01/02/2006,160.7120
01/03/2006,165.5330
01/04/2006,172.5150
01/05/2006,181.2930
01/06/2006,196.7550
01/07/2006,199.9010
01/08/2006,202.6760
01/09/2006,205.8350
01/10/2006,205.8350
01/11/2006,205.8350
01/12/2006,205.8350
01/01/2007,205.8350
01/02/2007,205.8350
01/03/2007,191.9880
01/04/2007,191.9880
01/05/2007,200.9490
01/06/2007,200.9930
01/07/2007,194.8350
01/08/2007,194.8350
01/09/2007,194.8350
01/10/2007,194.8350
01/11/2007,194.8350
01/12/2007,194.8350
01/01/2008,194.8350
01/02/2008,194.8350
01/03/2008,204.9970
01/04/2008,236.2570
01/05/2008,245.7670
01/06/2008,253.0840
01/07/2008,264.7600
01/08/2008,264.7600
01/09/2008,264.7600
01/10/2008,259.9060
01/11/2008,235.9590
01/12/2008,169.1960
01/01/2009,156.4170
01/02/2009,148.1500
01/03/2009,148.1500
01/04/2009,148.1500
01/05/2009,135.9030
01/06/2009,131.8070
01/07/2009,131.8070
01/08/2009,139.6230
01/09/2009,150.9300
01/10/2009,150.9300
01/11/2009,146.9900
01/12/2009,144.2330
01/01/2010,147.2710
01/02/2010,152.7220
01/03/2010,164.4840
01/04/2010,172.7040
01/05/2010,173.4700
01/06/2010,175.7260
01/07/2010,175.7260
01/08/2010,153.9870
01/09/2010,154.2920
01/10/2010,151.6780
01/11/2010,150.7040
01/12/2010,153.7620
01/01/2011,158.6770
01/02/2011,162.5380
01/03/2011,162.5380
01/04/2011,162.5380
01/05/2011,158.9420
01/06/2011,157.5460
