Fecha,Dato
01/12/2003,100.0000
01/01/2004,98.3490
01/02/2004,98.7590
01/03/2004,98.6740
01/04/2004,99.9250
01/05/2004,103.0750
01/06/2004,102.4160
01/07/2004,102.8880
01/08/2004,102.5100
01/09/2004,102.9420
01/10/2004,102.4700
01/11/2004,103.8580
01/12/2004,102.9420
01/01/2005,103.1690
01/02/2005,102.6220
01/03/2005,102.5940
01/04/2005,102.5100
01/05/2005,101.8760
01/06/2005,104.0710
01/07/2005,103.3800
01/08/2005,103.2390
01/09/2005,103.8100
01/10/2005,104.0450
01/11/2005,103.3530
01/12/2005,103.0380
01/01/2006,102.7940
01/02/2006,102.3700
01/03/2006,103.4940
01/04/2006,105.0670
01/05/2006,107.2070
01/06/2006,101.5840
01/07/2006,101.5840
01/08/2006,101.5840
01/09/2006,101.5840
01/10/2006,101.5840
01/11/2006,101.5840
01/12/2006,101.5840
01/01/2007,101.5840
01/02/2007,101.5840
01/03/2007,101.5840
01/04/2007,101.5840
01/05/2007,101.5840
01/06/2007,101.5840
01/07/2007,101.5840
01/08/2007,102.3960
01/09/2007,102.4410
01/10/2007,101.7620
01/11/2007,101.8140
01/12/2007,101.7900
01/01/2008,102.0000
01/02/2008,101.5360
01/03/2008,101.3670
01/04/2008,100.6750
01/05/2008,111.1380
01/06/2008,114.0820
01/07/2008,113.6980
01/08/2008,113.0080
01/09/2008,118.1030
01/10/2008,126.3810
01/11/2008,131.7260
01/12/2008,132.9330
01/01/2009,134.7310
01/02/2009,137.3630
01/03/2009,138.5390
01/04/2009,135.5670
01/05/2009,134.7670
01/06/2009,136.4840
01/07/2009,134.6820
01/08/2009,133.0910
01/09/2009,134.8380
01/10/2009,134.3430
01/11/2009,132.4140
01/12/2009,131.0970
01/01/2010,130.9990
01/02/2010,131.6220
01/03/2010,130.1290
01/04/2010,128.4490
01/05/2010,130.3640
01/06/2010,130.5810
01/07/2010,130.0020
01/08/2010,129.4890
01/09/2010,130.0450
01/10/2010,128.3030
01/11/2010,127.7200
01/12/2010,128.0840
01/01/2011,126.9740
01/02/2011,126.6250
01/03/2011,126.6520
01/04/2011,125.9300
01/05/2011,126.5970
01/06/2011,127.2670
