Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.0690
01/02/2004,99.3050
01/03/2004,106.2530
01/04/2004,107.1040
01/05/2004,114.6740
01/06/2004,114.2760
01/07/2004,114.5110
01/08/2004,114.2360
01/09/2004,126.8190
01/10/2004,126.5210
01/11/2004,126.4680
01/12/2004,125.8330
01/01/2005,126.0450
01/02/2005,125.6080
01/03/2005,125.5600
01/04/2005,125.5550
01/05/2005,125.0530
01/06/2005,126.7610
01/07/2005,126.2650
01/08/2005,121.9600
01/09/2005,116.5840
01/10/2005,116.8330
01/11/2005,113.5510
01/12/2005,113.3540
01/01/2006,113.1650
01/02/2006,112.8740
01/03/2006,113.6970
01/04/2006,123.1020
01/05/2006,123.2450
01/06/2006,124.4190
01/07/2006,131.8160
01/08/2006,131.0460
01/09/2006,137.7830
01/10/2006,137.5230
01/11/2006,145.4280
01/12/2006,145.2650
01/01/2007,146.7720
01/02/2007,147.0770
01/03/2007,147.7850
01/04/2007,144.3870
01/05/2007,151.6660
01/06/2007,151.5250
01/07/2007,151.4030
01/08/2007,148.7690
01/09/2007,148.8720
01/10/2007,142.0020
01/11/2007,144.2610
01/12/2007,144.1700
01/01/2008,144.4910
01/02/2008,151.4540
01/03/2008,151.2050
01/04/2008,150.0400
01/05/2008,154.1590
01/06/2008,153.4090
01/07/2008,170.1850
01/08/2008,179.8590
01/09/2008,182.6500
01/10/2008,191.6030
01/11/2008,187.1970
01/12/2008,176.6860
01/01/2009,178.5040
01/02/2009,157.2270
01/03/2009,157.7480
01/04/2009,153.4010
01/05/2009,152.7770
01/06/2009,142.8370
01/07/2009,142.8280
01/08/2009,146.9140
01/09/2009,150.5880
01/10/2009,154.6620
01/11/2009,164.8210
01/12/2009,163.8220
01/01/2010,163.5560
01/02/2010,164.2850
01/03/2010,166.0260
01/04/2010,167.3140
01/05/2010,171.4730
01/06/2010,171.5470
01/07/2010,172.0020
01/08/2010,171.5680
01/09/2010,168.4300
01/10/2010,166.7610
01/11/2010,169.3490
01/12/2010,169.7000
01/01/2011,169.0550
01/02/2011,172.1270
01/03/2011,171.8860
01/04/2011,176.9320
01/05/2011,176.3520
01/06/2011,177.1530
