Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.8980
01/02/2004,102.2980
01/03/2004,102.2980
01/04/2004,105.4450
01/05/2004,105.4450
01/06/2004,105.4450
01/07/2004,105.4450
01/08/2004,109.9290
01/09/2004,109.9290
01/10/2004,109.9290
01/11/2004,109.9290
01/12/2004,109.9290
01/01/2005,107.9330
01/02/2005,107.9330
01/03/2005,107.9330
01/04/2005,107.9330
01/05/2005,107.9330
01/06/2005,107.9330
01/07/2005,107.9330
01/08/2005,107.9330
01/09/2005,114.3450
01/10/2005,114.3450
01/11/2005,114.3450
01/12/2005,116.7320
01/01/2006,113.4610
01/02/2006,116.7310
01/03/2006,117.5200
01/04/2006,117.5200
01/05/2006,117.5200
01/06/2006,117.5200
01/07/2006,117.5200
01/08/2006,119.9350
01/09/2006,119.9350
01/10/2006,119.9350
01/11/2006,119.9350
01/12/2006,119.9350
01/01/2007,119.9350
01/02/2007,124.6150
01/03/2007,124.6150
01/04/2007,124.6150
01/05/2007,124.6150
01/06/2007,128.1020
01/07/2007,127.9390
01/08/2007,129.0950
01/09/2007,129.1560
01/10/2007,122.4930
01/11/2007,122.5620
01/12/2007,122.5310
01/01/2008,122.8130
01/02/2008,122.1880
01/03/2008,124.8030
01/04/2008,123.8710
01/05/2008,123.5360
01/06/2008,125.2150
01/07/2008,124.8160
01/08/2008,124.1020
01/09/2008,126.3730
01/10/2008,138.8350
01/11/2008,141.8510
01/12/2008,143.1120
01/01/2009,149.3240
01/02/2009,152.4510
01/03/2009,156.7350
01/04/2009,156.7350
01/05/2009,160.9950
01/06/2009,160.9950
01/07/2009,163.8220
01/08/2009,166.7330
01/09/2009,166.7330
01/10/2009,167.6380
01/11/2009,167.6380
01/12/2009,167.6380
01/01/2010,167.6380
01/02/2010,167.6380
01/03/2010,167.6380
01/04/2010,167.6380
01/05/2010,167.6380
01/06/2010,167.6380
01/07/2010,167.6380
01/08/2010,169.7620
01/09/2010,169.7620
01/10/2010,171.4410
01/11/2010,171.4410
01/12/2010,171.4410
01/01/2011,171.4410
01/02/2011,171.4410
01/03/2011,171.4410
01/04/2011,171.4410
01/05/2011,171.4410
01/06/2011,171.4410
