Fecha,Dato
01/12/2003,100.0000
01/01/2004,97.3580
01/02/2004,98.0160
01/03/2004,97.8780
01/04/2004,99.8800
01/05/2004,101.9770
01/06/2004,100.9230
01/07/2004,101.6780
01/08/2004,101.0740
01/09/2004,101.7650
01/10/2004,101.0100
01/11/2004,101.0410
01/12/2004,99.5770
01/01/2005,99.9400
01/02/2005,99.7800
01/03/2005,99.7350
01/04/2005,99.5990
01/05/2005,98.5760
01/06/2005,97.2630
01/07/2005,96.1480
01/08/2005,95.9210
01/09/2005,98.5700
01/10/2005,104.7590
01/11/2005,103.5460
01/12/2005,102.8600
01/01/2006,102.5060
01/02/2006,101.7180
01/03/2006,103.6840
01/04/2006,106.4350
01/05/2006,106.8400
01/06/2006,109.6520
01/07/2006,106.6360
01/08/2006,105.2310
01/09/2006,106.0890
01/10/2006,105.7080
01/11/2006,105.4010
01/12/2006,105.1400
01/01/2007,105.7240
01/02/2007,106.2300
01/03/2007,107.4020
01/04/2007,106.2730
01/05/2007,104.8690
01/06/2007,104.8370
01/07/2007,104.5290
01/08/2007,106.6120
01/09/2007,106.7280
01/10/2007,104.9880
01/11/2007,105.1190
01/12/2007,105.0600
01/01/2008,105.5960
01/02/2008,104.4070
01/03/2008,103.9750
01/04/2008,102.2000
01/05/2008,101.5630
01/06/2008,100.4500
01/07/2008,101.5500
01/08/2008,101.0950
01/09/2008,103.9530
01/10/2008,114.7420
01/11/2008,118.5370
01/12/2008,122.7760
01/01/2009,126.4220
01/02/2009,131.9680
01/03/2009,133.5520
01/04/2009,125.6760
01/05/2009,124.6000
01/06/2009,125.0750
01/07/2009,126.2930
01/08/2009,124.1490
01/09/2009,126.5020
01/10/2009,125.8360
01/11/2009,124.9730
01/12/2009,123.1970
01/01/2010,123.0660
01/02/2010,123.9060
01/03/2010,121.8930
01/04/2010,119.6290
01/05/2010,122.2090
01/06/2010,122.5020
01/07/2010,123.1650
01/08/2010,122.4730
01/09/2010,123.2220
01/10/2010,120.8750
01/11/2010,120.0890
01/12/2010,120.5790
01/01/2011,119.0830
01/02/2011,118.6130
01/03/2011,118.2760
01/04/2011,117.7730
01/05/2011,117.1540
01/06/2011,118.0450
