Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,105.5150
01/04/2004,107.7150
01/05/2004,107.7150
01/06/2004,107.7150
01/07/2004,111.1030
01/08/2004,111.1030
01/09/2004,111.1030
01/10/2004,111.1030
01/11/2004,111.1030
01/12/2004,116.7910
01/01/2005,116.7910
01/02/2005,116.7910
01/03/2005,123.9790
01/04/2005,123.9790
01/05/2005,123.9790
01/06/2005,125.8210
01/07/2005,130.1210
01/08/2005,130.1210
01/09/2005,130.5440
01/10/2005,134.3600
01/11/2005,134.3600
01/12/2005,137.3620
01/01/2006,137.3620
01/02/2006,144.4410
01/03/2006,144.4410
01/04/2006,144.4410
01/05/2006,182.4190
01/06/2006,182.4190
01/07/2006,182.4190
01/08/2006,182.9230
01/09/2006,182.9230
01/10/2006,182.9230
01/11/2006,182.9230
01/12/2006,182.9230
01/01/2007,190.1030
01/02/2007,190.1030
01/03/2007,190.1030
01/04/2007,190.1030
01/05/2007,190.1030
01/06/2007,190.1030
01/07/2007,190.1030
01/08/2007,190.1030
01/09/2007,190.1030
01/10/2007,190.1030
01/11/2007,190.1030
01/12/2007,190.1030
01/01/2008,190.1030
01/02/2008,190.1030
01/03/2008,190.1030
01/04/2008,190.1030
01/05/2008,190.1030
01/06/2008,190.1030
01/07/2008,190.1030
01/08/2008,190.1030
01/09/2008,190.1030
01/10/2008,190.1030
01/11/2008,194.1320
01/12/2008,195.7420
01/01/2009,198.5870
01/02/2009,204.7440
01/03/2009,202.8780
01/04/2009,194.6810
01/05/2009,193.2510
01/06/2009,193.8420
01/07/2009,192.5420
01/08/2009,190.3850
01/09/2009,192.7530
01/10/2009,192.0820
01/11/2009,191.2140
01/12/2009,189.4280
01/01/2010,192.5840
01/02/2010,195.0710
01/03/2010,193.0040
01/04/2010,190.6780
01/05/2010,193.3290
01/06/2010,193.6290
01/07/2010,194.3100
01/08/2010,193.5990
01/09/2010,194.3690
01/10/2010,191.9570
01/11/2010,191.1500
01/12/2010,193.2690
01/01/2011,193.3470
01/02/2011,192.8650
01/03/2011,192.5190
01/04/2011,190.8540
01/05/2011,190.2190
01/06/2011,191.1340
