Fecha,Dato
01/12/2003,100.0000
01/01/2004,97.0650
01/02/2004,97.7950
01/03/2004,97.6420
01/04/2004,99.8670
01/05/2004,102.1970
01/06/2004,101.0250
01/07/2004,101.8640
01/08/2004,101.1920
01/09/2004,101.9610
01/10/2004,101.1220
01/11/2004,101.1570
01/12/2004,99.5290
01/01/2005,99.9330
01/02/2005,99.8540
01/03/2005,99.8040
01/04/2005,99.6520
01/05/2005,98.5160
01/06/2005,97.0540
01/07/2005,95.8150
01/08/2005,95.5620
01/09/2005,96.1500
01/10/2005,97.0080
01/11/2005,95.7660
01/12/2005,95.0640
01/01/2006,94.7020
01/02/2006,93.8950
01/03/2006,95.9080
01/04/2006,98.7250
01/05/2006,99.1380
01/06/2006,102.0170
01/07/2006,98.9300
01/08/2006,97.4220
01/09/2006,98.3000
01/10/2006,97.9100
01/11/2006,97.5970
01/12/2006,97.3300
01/01/2007,97.9270
01/02/2007,98.4440
01/03/2007,99.6430
01/04/2007,98.4880
01/05/2007,97.0510
01/06/2007,97.0190
01/07/2007,96.7030
01/08/2007,98.8340
01/09/2007,98.9530
01/10/2007,97.1740
01/11/2007,96.9010
01/12/2007,96.8400
01/01/2008,97.3860
01/02/2008,96.1750
01/03/2008,95.7350
01/04/2008,93.9270
01/05/2008,93.2780
01/06/2008,92.1440
01/07/2008,91.3700
01/08/2008,89.9850
01/09/2008,94.3920
01/10/2008,111.0250
01/11/2008,116.8760
01/12/2008,119.3220
01/01/2009,123.4570
01/02/2009,129.5240
01/03/2009,131.9210
01/04/2009,120.0050
01/05/2009,118.3780
01/06/2009,119.0960
01/07/2009,119.1450
01/08/2009,115.9490
01/09/2009,119.4570
01/10/2009,118.4640
01/11/2009,117.1770
01/12/2009,114.5310
01/01/2010,114.3350
01/02/2010,115.5870
01/03/2010,112.5870
01/04/2010,109.2130
01/05/2010,113.0590
01/06/2010,113.4950
01/07/2010,114.4820
01/08/2010,113.4510
01/09/2010,114.5680
01/10/2010,111.0690
01/11/2010,109.8980
01/12/2010,110.6290
01/01/2011,108.3980
01/02/2011,107.6990
01/03/2011,107.1970
01/04/2011,104.7810
01/05/2011,103.8590
01/06/2011,105.1870
