Fecha,Dato
01/12/2003,100.0000
01/01/2004,98.6950
01/02/2004,99.0200
01/03/2004,98.9520
01/04/2004,99.9410
01/05/2004,99.0280
01/06/2004,98.5300
01/07/2004,98.8860
01/08/2004,98.6010
01/09/2004,98.9280
01/10/2004,98.5710
01/11/2004,98.5860
01/12/2004,97.8940
01/01/2005,98.0650
01/02/2005,97.6510
01/03/2005,100.8570
01/04/2005,100.7930
01/05/2005,98.6390
01/06/2005,99.2510
01/07/2005,100.3280
01/08/2005,100.2140
01/09/2005,100.6770
01/10/2005,100.8670
01/11/2005,100.3070
01/12/2005,101.2770
01/01/2006,101.1090
01/02/2006,100.7340
01/03/2006,112.6950
01/04/2006,114.0040
01/05/2006,114.1960
01/06/2006,115.5340
01/07/2006,114.0990
01/08/2006,113.3990
01/09/2006,113.8070
01/10/2006,113.6260
01/11/2006,113.4800
01/12/2006,113.3560
01/01/2007,113.6340
01/02/2007,113.8740
01/03/2007,122.2750
01/04/2007,121.7390
01/05/2007,121.0710
01/06/2007,121.0560
01/07/2007,120.9100
01/08/2007,121.9000
01/09/2007,121.9550
01/10/2007,121.1280
01/11/2007,121.1910
01/12/2007,121.1630
01/01/2008,121.4170
01/02/2008,120.8520
01/03/2008,120.6470
01/04/2008,119.8030
01/05/2008,119.5010
01/06/2008,118.9720
01/07/2008,119.6070
01/08/2008,118.9600
01/09/2008,121.0170
01/10/2008,128.7780
01/11/2008,131.5080
01/12/2008,132.6500
01/01/2009,134.5790
01/02/2009,137.4100
01/03/2009,138.5280
01/04/2009,132.9690
01/05/2009,132.2090
01/06/2009,132.5450
01/07/2009,132.5670
01/08/2009,131.0760
01/09/2009,132.7130
01/10/2009,132.2500
01/11/2009,131.6490
01/12/2009,130.4150
01/01/2010,130.3230
01/02/2010,130.9070
01/03/2010,129.5080
01/04/2010,127.9330
01/05/2010,129.7280
01/06/2010,129.9310
01/07/2010,130.3920
01/08/2010,129.9110
01/09/2010,130.4320
01/10/2010,128.7990
01/11/2010,128.2530
01/12/2010,128.5940
01/01/2011,129.8290
01/02/2011,129.4880
01/03/2011,129.2430
01/04/2011,128.0650
01/05/2011,127.6160
01/06/2011,128.2630
