Fecha,Dato
01/12/2003,100.0000
01/01/2004,97.0650
01/02/2004,97.7950
01/03/2004,97.6420
01/04/2004,99.8670
01/05/2004,99.1970
01/06/2004,98.0600
01/07/2004,98.8740
01/08/2004,100.2110
01/09/2004,100.9710
01/10/2004,100.1410
01/11/2004,100.1760
01/12/2004,98.5640
01/01/2005,98.9640
01/02/2005,103.6740
01/03/2005,103.6230
01/04/2005,103.4650
01/05/2005,102.2850
01/06/2005,105.6950
01/07/2005,104.3450
01/08/2005,104.0370
01/09/2005,105.1530
01/10/2005,105.6120
01/11/2005,104.2600
01/12/2005,103.5600
01/01/2006,103.1300
01/02/2006,102.2740
01/03/2006,103.5440
01/04/2006,106.4160
01/05/2006,106.9180
01/06/2006,113.2990
01/07/2006,113.0250
01/08/2006,111.2710
01/09/2006,112.2570
01/10/2006,111.7810
01/11/2006,111.4540
01/12/2006,111.1440
01/01/2007,111.7930
01/02/2007,112.3630
01/03/2007,114.5650
01/04/2007,114.0290
01/05/2007,112.4290
01/06/2007,112.3240
01/07/2007,112.0100
01/08/2007,114.4190
01/09/2007,114.5730
01/10/2007,112.5370
01/11/2007,112.7430
01/12/2007,112.6380
01/01/2008,113.2650
01/02/2008,112.1440
01/03/2008,111.7550
01/04/2008,109.6260
01/05/2008,108.9840
01/06/2008,107.6680
01/07/2008,106.7320
01/08/2008,105.0340
01/09/2008,110.2010
01/10/2008,129.8140
01/11/2008,136.3350
01/12/2008,139.3020
01/01/2009,144.1150
01/02/2009,151.1750
01/03/2009,153.5600
01/04/2009,139.9760
01/05/2009,138.0930
01/06/2009,138.9880
01/07/2009,138.9120
01/08/2009,135.1730
01/09/2009,139.2390
01/10/2009,138.1110
01/11/2009,136.4870
01/12/2009,133.5890
01/01/2010,133.2150
01/02/2010,134.7990
01/03/2010,131.1120
01/04/2010,127.2440
01/05/2010,131.8590
01/06/2010,132.2540
01/07/2010,133.3520
01/08/2010,132.2350
01/09/2010,133.4210
01/10/2010,129.4170
01/11/2010,128.1360
01/12/2010,128.9610
01/01/2011,130.0910
01/02/2011,129.2910
01/03/2011,128.7180
01/04/2011,125.8340
01/05/2011,124.7280
01/06/2011,126.3000
