Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,99.6030
01/03/2004,97.8240
01/04/2004,97.8240
01/05/2004,97.8240
01/06/2004,97.8240
01/07/2004,102.3550
01/08/2004,102.6520
01/09/2004,102.9480
01/10/2004,102.9480
01/11/2004,102.9480
01/12/2004,102.9480
01/01/2005,104.1270
01/02/2005,104.1270
01/03/2005,104.1270
01/04/2005,104.1270
01/05/2005,104.1270
01/06/2005,104.1270
01/07/2005,104.1270
01/08/2005,104.1270
01/09/2005,104.1270
01/10/2005,104.1270
01/11/2005,104.1270
01/12/2005,104.1270
01/01/2006,104.1270
01/02/2006,104.5190
01/03/2006,104.5190
01/04/2006,104.5190
01/05/2006,104.5190
01/06/2006,104.5190
01/07/2006,104.9880
01/08/2006,104.9880
01/09/2006,113.5490
01/10/2006,113.5490
01/11/2006,113.5490
01/12/2006,113.5490
01/01/2007,113.5490
01/02/2007,114.1650
01/03/2007,114.7040
01/04/2007,114.7040
01/05/2007,114.7040
01/06/2007,114.7040
01/07/2007,117.0490
01/08/2007,117.0490
01/09/2007,116.7060
01/10/2007,116.7060
01/11/2007,116.7310
01/12/2007,117.5600
01/01/2008,118.5600
01/02/2008,118.9040
01/03/2008,123.3090
01/04/2008,122.8850
01/05/2008,123.0830
01/06/2008,123.4790
01/07/2008,123.4790
01/08/2008,122.4410
01/09/2008,122.4800
01/10/2008,128.6230
01/11/2008,130.2040
01/12/2008,130.2040
01/01/2009,144.3390
01/02/2009,145.5280
01/03/2009,146.6160
01/04/2009,149.8640
01/05/2009,149.4660
01/06/2009,149.6420
01/07/2009,149.6540
01/08/2009,148.5390
01/09/2009,149.3970
01/10/2009,149.1540
01/11/2009,148.8390
01/12/2009,148.1920
01/01/2010,148.1440
01/02/2010,148.4500
01/03/2010,147.7160
01/04/2010,146.2000
01/05/2010,147.2490
01/06/2010,147.3560
01/07/2010,147.5980
01/08/2010,147.3450
01/09/2010,147.6190
01/10/2010,146.7630
01/11/2010,146.4760
01/12/2010,146.6550
01/01/2011,146.1090
01/02/2011,145.7540
01/03/2011,147.9590
01/04/2011,147.3680
01/05/2011,147.1430
01/06/2011,147.4680
