Fecha,Dato
01/12/2003,100.0000
01/01/2004,97.0650
01/02/2004,97.7950
01/03/2004,97.6420
01/04/2004,99.8670
01/05/2004,102.1970
01/06/2004,101.0260
01/07/2004,101.8640
01/08/2004,101.1930
01/09/2004,101.9610
01/10/2004,101.1220
01/11/2004,101.1570
01/12/2004,99.5290
01/01/2005,99.9330
01/02/2005,99.4070
01/03/2005,99.3570
01/04/2005,99.2060
01/05/2005,98.0740
01/06/2005,96.6190
01/07/2005,94.0370
01/08/2005,93.7890
01/09/2005,94.5770
01/10/2005,95.2090
01/11/2005,93.9900
01/12/2005,93.3000
01/01/2006,92.9450
01/02/2006,94.7750
01/03/2006,96.8060
01/04/2006,99.6500
01/05/2006,100.0670
01/06/2006,102.9730
01/07/2006,99.8570
01/08/2006,98.3350
01/09/2006,99.2210
01/10/2006,101.9990
01/11/2006,101.6730
01/12/2006,105.8160
01/01/2007,106.4650
01/02/2007,107.0270
01/03/2007,108.3310
01/04/2007,107.0760
01/05/2007,105.5130
01/06/2007,105.4790
01/07/2007,105.1350
01/08/2007,104.4460
01/09/2007,104.5710
01/10/2007,102.6910
01/11/2007,103.4420
01/12/2007,103.3780
01/01/2008,103.3480
01/02/2008,102.0620
01/03/2008,101.5950
01/04/2008,99.6750
01/05/2008,98.9870
01/06/2008,97.7840
01/07/2008,101.1040
01/08/2008,99.5710
01/09/2008,104.4450
01/10/2008,122.8530
01/11/2008,136.5460
01/12/2008,139.4040
01/01/2009,144.2350
01/02/2009,151.3220
01/03/2009,151.7570
01/04/2009,138.0500
01/05/2009,136.1770
01/06/2009,137.0040
01/07/2009,137.0600
01/08/2009,133.3840
01/09/2009,137.4190
01/10/2009,136.2760
01/11/2009,134.7970
01/12/2009,131.7530
01/01/2010,131.2330
01/02/2010,132.6700
01/03/2010,129.2270
01/04/2010,125.5990
01/05/2010,129.9100
01/06/2010,130.4000
01/07/2010,131.5080
01/08/2010,130.3500
01/09/2010,131.6330
01/10/2010,127.6130
01/11/2010,126.2680
01/12/2010,127.1080
01/01/2011,126.0350
01/02/2011,127.3620
01/03/2011,126.7690
01/04/2011,123.9120
01/05/2011,123.2740
01/06/2011,124.7880
