Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,107.6800
01/05/2004,107.6800
01/06/2004,107.6800
01/07/2004,107.6800
01/08/2004,107.6800
01/09/2004,107.6800
01/10/2004,107.6800
01/11/2004,107.6800
01/12/2004,107.6800
01/01/2005,107.6800
01/02/2005,107.6800
01/03/2005,107.6800
01/04/2005,107.6800
01/05/2005,107.6800
01/06/2005,107.6800
01/07/2005,115.6430
01/08/2005,115.6430
01/09/2005,115.6430
01/10/2005,115.6430
01/11/2005,115.6430
01/12/2005,115.6430
01/01/2006,115.6430
01/02/2006,115.6430
01/03/2006,115.6430
01/04/2006,115.6430
01/05/2006,115.6430
01/06/2006,118.0930
01/07/2006,118.0930
01/08/2006,117.4080
01/09/2006,117.4080
01/10/2006,117.4080
01/11/2006,117.4080
01/12/2006,117.4080
01/01/2007,123.0840
01/02/2007,123.2800
01/03/2007,123.2800
01/04/2007,123.2800
01/05/2007,123.2800
01/06/2007,123.2800
01/07/2007,123.2800
01/08/2007,123.2800
01/09/2007,123.2800
01/10/2007,123.2800
01/11/2007,123.2800
01/12/2007,123.2800
01/01/2008,129.5300
01/02/2008,129.5300
01/03/2008,129.5300
01/04/2008,133.1020
01/05/2008,133.1020
01/06/2008,133.1020
01/07/2008,133.1020
01/08/2008,133.1020
01/09/2008,133.1020
01/10/2008,138.9580
01/11/2008,149.0740
01/12/2008,149.0740
01/01/2009,156.5280
01/02/2009,156.5280
01/03/2009,156.5280
01/04/2009,156.5280
01/05/2009,156.5280
01/06/2009,156.5280
01/07/2009,156.5280
01/08/2009,156.5280
01/09/2009,156.5280
01/10/2009,156.5280
01/11/2009,156.5280
01/12/2009,156.5280
01/01/2010,156.5280
01/02/2010,156.5280
01/03/2010,156.5280
01/04/2010,159.7030
01/05/2010,159.7030
01/06/2010,159.7030
01/07/2010,159.7030
01/08/2010,159.7030
01/09/2010,159.7030
01/10/2010,159.7030
01/11/2010,159.7030
01/12/2010,159.7030
01/01/2011,159.7030
01/02/2011,159.7030
01/03/2011,159.7030
01/04/2011,159.7030
01/05/2011,159.7030
01/06/2011,159.7030
