Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,100.0000
01/05/2004,100.0000
01/06/2004,100.0000
01/07/2004,100.0000
01/08/2004,100.0000
01/09/2004,110.2560
01/10/2004,111.8560
01/11/2004,109.4960
01/12/2004,109.8850
01/01/2005,110.8960
01/02/2005,110.2990
01/03/2005,112.7380
01/04/2005,111.1030
01/05/2005,111.1550
01/06/2005,117.2240
01/07/2005,118.3650
01/08/2005,118.3650
01/09/2005,112.0620
01/10/2005,112.0620
01/11/2005,107.9600
01/12/2005,107.9600
01/01/2006,107.9600
01/02/2006,107.9600
01/03/2006,107.9600
01/04/2006,115.6110
01/05/2006,119.2110
01/06/2006,119.2110
01/07/2006,120.1110
01/08/2006,120.1110
01/09/2006,121.9110
01/10/2006,128.9880
01/11/2006,134.3880
01/12/2006,137.9880
01/01/2007,137.9880
01/02/2007,138.8880
01/03/2007,137.0880
01/04/2007,133.4870
01/05/2007,144.2890
01/06/2007,133.8470
01/07/2007,133.8470
01/08/2007,144.7380
01/09/2007,144.7380
01/10/2007,155.0970
01/11/2007,160.0470
01/12/2007,161.8470
01/01/2008,161.8470
01/02/2008,161.8470
01/03/2008,175.3490
01/04/2008,185.6050
01/05/2008,185.6050
01/06/2008,185.6050
01/07/2008,185.6050
01/08/2008,191.9050
01/09/2008,191.9050
01/10/2008,209.9560
01/11/2008,218.9570
01/12/2008,203.6550
01/01/2009,209.9550
01/02/2009,209.0550
01/03/2009,209.9550
01/04/2009,209.9550
01/05/2009,185.8670
01/06/2009,189.4670
01/07/2009,189.4670
01/08/2009,191.2680
01/09/2009,189.2030
01/10/2009,193.2030
01/11/2009,186.9020
01/12/2009,186.9020
01/01/2010,188.7030
01/02/2010,192.3030
01/03/2010,185.1020
01/04/2010,184.9870
01/05/2010,184.9870
01/06/2010,182.2870
01/07/2010,182.2870
01/08/2010,182.2870
01/09/2010,184.8370
01/10/2010,184.0800
01/11/2010,182.1300
01/12/2010,182.1300
01/01/2011,179.1300
01/02/2011,179.1300
01/03/2011,179.1300
01/04/2011,179.1300
01/05/2011,179.9850
01/06/2011,179.9850
