Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.5620
01/02/2004,103.1750
01/03/2004,106.4630
01/04/2004,113.9360
01/05/2004,118.8380
01/06/2004,121.0880
01/07/2004,126.6390
01/08/2004,128.0130
01/09/2004,128.8670
01/10/2004,129.2470
01/11/2004,127.9110
01/12/2004,125.8750
01/01/2005,120.5770
01/02/2005,125.4440
01/03/2005,126.3610
01/04/2005,128.8690
01/05/2005,125.9320
01/06/2005,127.2170
01/07/2005,125.6610
01/08/2005,125.7760
01/09/2005,125.8130
01/10/2005,126.6520
01/11/2005,127.9020
01/12/2005,125.6790
01/01/2006,125.1430
01/02/2006,125.0370
01/03/2006,126.3210
01/04/2006,124.6110
01/05/2006,121.4290
01/06/2006,121.7790
01/07/2006,127.0510
01/08/2006,126.6490
01/09/2006,121.6680
01/10/2006,117.3040
01/11/2006,114.9760
01/12/2006,113.7140
01/01/2007,115.1860
01/02/2007,118.5810
01/03/2007,122.0160
01/04/2007,125.9860
01/05/2007,128.9000
01/06/2007,127.8830
01/07/2007,128.8740
01/08/2007,130.5230
01/09/2007,132.8910
01/10/2007,132.6010
01/11/2007,132.1190
01/12/2007,133.3450
01/01/2008,135.9030
01/02/2008,140.4640
01/03/2008,144.1980
01/04/2008,160.0800
01/05/2008,184.1350
01/06/2008,187.0310
01/07/2008,192.3670
01/08/2008,193.7820
01/09/2008,205.2600
01/10/2008,210.6890
01/11/2008,212.1000
01/12/2008,220.0230
01/01/2009,217.4690
01/02/2009,217.8020
01/03/2009,217.1930
01/04/2009,215.4460
01/05/2009,212.3210
01/06/2009,216.0870
01/07/2009,226.2650
01/08/2009,230.7210
01/09/2009,230.0370
01/10/2009,225.9310
01/11/2009,222.5580
01/12/2009,218.8640
01/01/2010,216.1680
01/02/2010,214.0750
01/03/2010,209.5870
01/04/2010,209.7280
01/05/2010,210.9040
01/06/2010,204.5130
01/07/2010,205.7200
01/08/2010,200.3620
01/09/2010,195.1250
01/10/2010,192.3750
01/11/2010,193.4210
01/12/2010,196.3800
01/01/2011,198.3900
01/02/2011,200.0320
01/03/2011,200.7330
01/04/2011,198.4990
01/05/2011,194.7700
01/06/2011,191.2870
