Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.5880
01/02/2004,105.9110
01/03/2004,109.8630
01/04/2004,109.1120
01/05/2004,105.2850
01/06/2004,101.3160
01/07/2004,103.7120
01/08/2004,102.6850
01/09/2004,101.9330
01/10/2004,104.0170
01/11/2004,104.3980
01/12/2004,106.7240
01/01/2005,107.0980
01/02/2005,114.5500
01/03/2005,116.6570
01/04/2005,113.6720
01/05/2005,113.4380
01/06/2005,111.9640
01/07/2005,105.4220
01/08/2005,104.5580
01/09/2005,103.7660
01/10/2005,101.5350
01/11/2005,105.1650
01/12/2005,108.8570
01/01/2006,115.8470
01/02/2006,117.5470
01/03/2006,117.4040
01/04/2006,117.3360
01/05/2006,116.2310
01/06/2006,112.4840
01/07/2006,112.0000
01/08/2006,109.8210
01/09/2006,103.3860
01/10/2006,104.7430
01/11/2006,111.7840
01/12/2006,112.0520
01/01/2007,121.7070
01/02/2007,134.0210
01/03/2007,131.3770
01/04/2007,132.8510
01/05/2007,125.2470
01/06/2007,122.9650
01/07/2007,120.4020
01/08/2007,115.3430
01/09/2007,114.4830
01/10/2007,114.5300
01/11/2007,112.8970
01/12/2007,116.8890
01/01/2008,116.5110
01/02/2008,118.2400
01/03/2008,122.2260
01/04/2008,126.5940
01/05/2008,128.4570
01/06/2008,127.2670
01/07/2008,131.5680
01/08/2008,131.7940
01/09/2008,134.1160
01/10/2008,133.9910
01/11/2008,135.5690
01/12/2008,136.3580
01/01/2009,140.8680
01/02/2009,147.5530
01/03/2009,139.8140
01/04/2009,138.8680
01/05/2009,140.5290
01/06/2009,141.4290
01/07/2009,139.1460
01/08/2009,145.3110
01/09/2009,139.8280
01/10/2009,139.9510
01/11/2009,141.2250
01/12/2009,142.0680
01/01/2010,137.5590
01/02/2010,140.1370
01/03/2010,152.2810
01/04/2010,146.8170
01/05/2010,145.2060
01/06/2010,144.0080
01/07/2010,146.8930
01/08/2010,147.9970
01/09/2010,138.8310
01/10/2010,138.1030
01/11/2010,145.4310
01/12/2010,147.9220
01/01/2011,148.1280
01/02/2011,154.0410
01/03/2011,164.7410
01/04/2011,170.1030
01/05/2011,172.5050
01/06/2011,170.4920
