Fecha,Dato
01/12/2003,100.0000
01/01/2004,102.9460
01/02/2004,96.1920
01/03/2004,89.4380
01/04/2004,89.4380
01/05/2004,89.4380
01/06/2004,89.4380
01/07/2004,89.4380
01/08/2004,108.9790
01/09/2004,109.3650
01/10/2004,108.9790
01/11/2004,108.9790
01/12/2004,108.9790
01/01/2005,110.3530
01/02/2005,110.3530
01/03/2005,110.3530
01/04/2005,110.3530
01/05/2005,110.3530
01/06/2005,110.3530
01/07/2005,125.3120
01/08/2005,125.3120
01/09/2005,125.3120
01/10/2005,125.3120
01/11/2005,125.3120
01/12/2005,125.3120
01/01/2006,124.9260
01/02/2006,124.9260
01/03/2006,124.9260
01/04/2006,124.9260
01/05/2006,124.9300
01/06/2006,125.7590
01/07/2006,125.7590
01/08/2006,126.9880
01/09/2006,126.9880
01/10/2006,126.9880
01/11/2006,126.9880
01/12/2006,128.1000
01/01/2007,128.1000
01/02/2007,128.1000
01/03/2007,128.1000
01/04/2007,128.1000
01/05/2007,128.1000
01/06/2007,128.1000
01/07/2007,128.1000
01/08/2007,130.2500
01/09/2007,130.2500
01/10/2007,130.2500
01/11/2007,130.2500
01/12/2007,130.2500
01/01/2008,131.2620
01/02/2008,131.2620
01/03/2008,131.2620
01/04/2008,131.2620
01/05/2008,131.2620
01/06/2008,131.2620
01/07/2008,131.2620
01/08/2008,131.2620
01/09/2008,135.7110
01/10/2008,135.9050
01/11/2008,135.9050
01/12/2008,135.9050
01/01/2009,124.5840
01/02/2009,124.5840
01/03/2009,124.5840
01/04/2009,124.5840
01/05/2009,124.5840
01/06/2009,124.5840
01/07/2009,124.5840
01/08/2009,124.5840
01/09/2009,124.8400
01/10/2009,125.9810
01/11/2009,141.9570
01/12/2009,141.9570
01/01/2010,148.8920
01/02/2010,140.7010
01/03/2010,146.9870
01/04/2010,146.9870
01/05/2010,146.9870
01/06/2010,166.0220
01/07/2010,175.6870
01/08/2010,184.3190
01/09/2010,203.6490
01/10/2010,203.6490
01/11/2010,206.8980
01/12/2010,206.8980
01/01/2011,206.8980
01/02/2011,197.9130
01/03/2011,197.9130
01/04/2011,197.9130
01/05/2011,202.0770
01/06/2011,220.5030
