Fecha,Dato
01/12/2003,100.0000
01/01/2004,110.3380
01/02/2004,126.8390
01/03/2004,112.5850
01/04/2004,102.1900
01/05/2004,94.9860
01/06/2004,90.8370
01/07/2004,82.6470
01/08/2004,85.5310
01/09/2004,89.3310
01/10/2004,94.8370
01/11/2004,94.3290
01/12/2004,85.0400
01/01/2005,85.2200
01/02/2005,81.3700
01/03/2005,74.5880
01/04/2005,74.4170
01/05/2005,81.4190
01/06/2005,103.6910
01/07/2005,124.5270
01/08/2005,133.6260
01/09/2005,160.0280
01/10/2005,159.9400
01/11/2005,130.8290
01/12/2005,122.7530
01/01/2006,131.9280
01/02/2006,117.9120
01/03/2006,107.0390
01/04/2006,113.2970
01/05/2006,146.1460
01/06/2006,142.8760
01/07/2006,149.5690
01/08/2006,136.9700
01/09/2006,127.5200
01/10/2006,118.1810
01/11/2006,104.0980
01/12/2006,102.1700
01/01/2007,107.1930
01/02/2007,112.0730
01/03/2007,98.9480
01/04/2007,96.0690
01/05/2007,92.0280
01/06/2007,87.0030
01/07/2007,84.7950
01/08/2007,89.8920
01/09/2007,96.2640
01/10/2007,98.2030
01/11/2007,103.6250
01/12/2007,111.9640
01/01/2008,108.1070
01/02/2008,113.9410
01/03/2008,102.8520
01/04/2008,96.7720
01/05/2008,103.9200
01/06/2008,109.2700
01/07/2008,114.2880
01/08/2008,111.4770
01/09/2008,111.4580
01/10/2008,112.2390
01/11/2008,115.4500
01/12/2008,119.6460
01/01/2009,123.4700
01/02/2009,137.9200
01/03/2009,124.9500
01/04/2009,128.9260
01/05/2009,162.8960
01/06/2009,194.8870
01/07/2009,179.1710
01/08/2009,179.7010
01/09/2009,196.6410
01/10/2009,191.3200
01/11/2009,176.2240
01/12/2009,167.3830
01/01/2010,185.7960
01/02/2010,201.4890
01/03/2010,188.8190
01/04/2010,154.5870
01/05/2010,144.2070
01/06/2010,144.7670
01/07/2010,144.9810
01/08/2010,145.7010
01/09/2010,146.0110
01/10/2010,137.7510
01/11/2010,131.8870
01/12/2010,126.1630
01/01/2011,121.6500
01/02/2011,125.0270
01/03/2011,127.6900
01/04/2011,137.2480
01/05/2011,155.1700
01/06/2011,137.3270
