Fecha,Dato
01/12/2003,100.0000
01/01/2004,130.5840
01/02/2004,319.3750
01/03/2004,255.4480
01/04/2004,113.3260
01/05/2004,75.6510
01/06/2004,90.2800
01/07/2004,94.0560
01/08/2004,117.7260
01/09/2004,122.9710
01/10/2004,113.9760
01/11/2004,124.4730
01/12/2004,118.3840
01/01/2005,168.4110
01/02/2005,290.1860
01/03/2005,307.4180
01/04/2005,266.8660
01/05/2005,248.4970
01/06/2005,176.7360
01/07/2005,180.3280
01/08/2005,150.4110
01/09/2005,126.7400
01/10/2005,75.3150
01/11/2005,101.3970
01/12/2005,116.2220
01/01/2006,91.3550
01/02/2006,77.0130
01/03/2006,88.5670
01/04/2006,98.6950
01/05/2006,105.9840
01/06/2006,97.6250
01/07/2006,82.8640
01/08/2006,112.4050
01/09/2006,155.7830
01/10/2006,228.2220
01/11/2006,272.5910
01/12/2006,204.1050
01/01/2007,102.6300
01/02/2007,115.2230
01/03/2007,116.6250
01/04/2007,112.6050
01/05/2007,75.0340
01/06/2007,73.0150
01/07/2007,86.4120
01/08/2007,131.1500
01/09/2007,128.5610
01/10/2007,94.1750
01/11/2007,115.2830
01/12/2007,89.8840
01/01/2008,109.9170
01/02/2008,236.4390
01/03/2008,285.5930
01/04/2008,279.9170
01/05/2008,147.5110
01/06/2008,125.7700
01/07/2008,123.1620
01/08/2008,117.6090
01/09/2008,122.4930
01/10/2008,109.5790
01/11/2008,187.6520
01/12/2008,227.3740
01/01/2009,164.9950
01/02/2009,105.9940
01/03/2009,99.8170
01/04/2009,157.2140
01/05/2009,131.8920
01/06/2009,153.3500
01/07/2009,97.3810
01/08/2009,117.6810
01/09/2009,162.1930
01/10/2009,112.4780
01/11/2009,123.5000
01/12/2009,99.7080
01/01/2010,139.4330
01/02/2010,183.3410
01/03/2010,231.6810
01/04/2010,194.1430
01/05/2010,108.8250
01/06/2010,100.8030
01/07/2010,120.4660
01/08/2010,146.2280
01/09/2010,149.0870
01/10/2010,126.9620
01/11/2010,159.2080
01/12/2010,188.5340
01/01/2011,121.5580
01/02/2011,145.8270
01/03/2011,176.4230
01/04/2011,113.7170
01/05/2011,110.7110
01/06/2011,139.7660
