Fecha,Dato
01/12/2003,100.0000
01/01/2004,117.8790
01/02/2004,101.7860
01/03/2004,87.6440
01/04/2004,76.2260
01/05/2004,76.0020
01/06/2004,87.9600
01/07/2004,92.5680
01/08/2004,92.4420
01/09/2004,101.3320
01/10/2004,118.4330
01/11/2004,114.3420
01/12/2004,121.0680
01/01/2005,108.7360
01/02/2005,102.1340
01/03/2005,97.6430
01/04/2005,100.5250
01/05/2005,120.6440
01/06/2005,101.8680
01/07/2005,120.9510
01/08/2005,109.1670
01/09/2005,103.6930
01/10/2005,95.8370
01/11/2005,101.6350
01/12/2005,111.3880
01/01/2006,107.7310
01/02/2006,112.1710
01/03/2006,100.7290
01/04/2006,100.7970
01/05/2006,103.1600
01/06/2006,103.0680
01/07/2006,96.5590
01/08/2006,100.0160
01/09/2006,99.8570
01/10/2006,95.7670
01/11/2006,106.9690
01/12/2006,122.0870
01/01/2007,119.3740
01/02/2007,123.3400
01/03/2007,111.7650
01/04/2007,106.8710
01/05/2007,102.4470
01/06/2007,94.9600
01/07/2007,115.8070
01/08/2007,132.7360
01/09/2007,133.7400
01/10/2007,131.2920
01/11/2007,141.3500
01/12/2007,142.4400
01/01/2008,125.2090
01/02/2008,108.3330
01/03/2008,102.1340
01/04/2008,103.9670
01/05/2008,113.9600
01/06/2008,114.5460
01/07/2008,118.9420
01/08/2008,112.1210
01/09/2008,120.0850
01/10/2008,125.2700
01/11/2008,113.8150
01/12/2008,114.0080
01/01/2009,117.9080
01/02/2009,121.8390
01/03/2009,112.8610
01/04/2009,120.7080
01/05/2009,123.7540
01/06/2009,131.9700
01/07/2009,139.1820
01/08/2009,132.7650
01/09/2009,135.5160
01/10/2009,132.3060
01/11/2009,131.9180
01/12/2009,131.1100
01/01/2010,127.5880
01/02/2010,127.1040
01/03/2010,126.5800
01/04/2010,124.1620
01/05/2010,117.9960
01/06/2010,120.6500
01/07/2010,129.9520
01/08/2010,136.8220
01/09/2010,140.8300
01/10/2010,144.2290
01/11/2010,149.1800
01/12/2010,166.9440
01/01/2011,172.2360
01/02/2011,178.4320
01/03/2011,165.8600
01/04/2011,147.3040
01/05/2011,138.5020
01/06/2011,134.9260
