Fecha,Dato
01/12/2003,100.0000
01/01/2004,94.9420
01/02/2004,96.6000
01/03/2004,99.7370
01/04/2004,114.8190
01/05/2004,129.7420
01/06/2004,133.3730
01/07/2004,128.3590
01/08/2004,146.7940
01/09/2004,137.1160
01/10/2004,127.5840
01/11/2004,119.1600
01/12/2004,109.2450
01/01/2005,112.0670
01/02/2005,113.3340
01/03/2005,128.3160
01/04/2005,168.6980
01/05/2005,161.7800
01/06/2005,168.5590
01/07/2005,251.2650
01/08/2005,202.9020
01/09/2005,165.4880
01/10/2005,126.7270
01/11/2005,110.3770
01/12/2005,109.1360
01/01/2006,106.9770
01/02/2006,109.8870
01/03/2006,124.1040
01/04/2006,147.0580
01/05/2006,164.4080
01/06/2006,169.1330
01/07/2006,181.2210
01/08/2006,229.0230
01/09/2006,201.4100
01/10/2006,176.3500
01/11/2006,136.6910
01/12/2006,124.4510
01/01/2007,114.0770
01/02/2007,119.2050
01/03/2007,130.1680
01/04/2007,156.1160
01/05/2007,180.3160
01/06/2007,211.1570
01/07/2007,241.9210
01/08/2007,280.7930
01/09/2007,250.8410
01/10/2007,204.9020
01/11/2007,191.2680
01/12/2007,191.5760
01/01/2008,194.9310
01/02/2008,192.0870
01/03/2008,209.8640
01/04/2008,244.6890
01/05/2008,246.8310
01/06/2008,271.1980
01/07/2008,297.0520
01/08/2008,297.9890
01/09/2008,255.5460
01/10/2008,206.8170
01/11/2008,180.8680
01/12/2008,167.4600
01/01/2009,177.9600
01/02/2009,169.4200
01/03/2009,173.7130
01/04/2009,205.4270
01/05/2009,254.3870
01/06/2009,284.3560
01/07/2009,362.8070
01/08/2009,338.7520
01/09/2009,271.6030
01/10/2009,205.0220
01/11/2009,179.1680
01/12/2009,174.9200
01/01/2010,188.5920
01/02/2010,194.3220
01/03/2010,203.9550
01/04/2010,244.2430
01/05/2010,253.2030
01/06/2010,275.1160
01/07/2010,310.4080
01/08/2010,328.4460
01/09/2010,358.7350
01/10/2010,279.7930
01/11/2010,213.3270
01/12/2010,206.8730
01/01/2011,221.9500
01/02/2011,246.6180
01/03/2011,323.8690
01/04/2011,363.4210
01/05/2011,415.9480
01/06/2011,469.7180
