Fecha,Dato
01/12/2003,100.0000
01/01/2004,132.9420
01/02/2004,168.0430
01/03/2004,165.7330
01/04/2004,144.2750
01/05/2004,129.6520
01/06/2004,128.6550
01/07/2004,122.8670
01/08/2004,119.6920
01/09/2004,98.0110
01/10/2004,96.7830
01/11/2004,95.1270
01/12/2004,108.0070
01/01/2005,139.8920
01/02/2005,144.9560
01/03/2005,139.4410
01/04/2005,127.8290
01/05/2005,125.3180
01/06/2005,140.9270
01/07/2005,146.9390
01/08/2005,136.8440
01/09/2005,123.4030
01/10/2005,167.9550
01/11/2005,150.4280
01/12/2005,150.0600
01/01/2006,176.4320
01/02/2006,186.7020
01/03/2006,210.8240
01/04/2006,184.1890
01/05/2006,176.7770
01/06/2006,161.5810
01/07/2006,149.8440
01/08/2006,144.3630
01/09/2006,137.5150
01/10/2006,135.0860
01/11/2006,131.3510
01/12/2006,141.9570
01/01/2007,168.8750
01/02/2007,186.0440
01/03/2007,194.1010
01/04/2007,182.2930
01/05/2007,163.3120
01/06/2007,168.0220
01/07/2007,168.2610
01/08/2007,190.2540
01/09/2007,210.3270
01/10/2007,202.5810
01/11/2007,208.5160
01/12/2007,197.1840
01/01/2008,190.8750
01/02/2008,180.5990
01/03/2008,178.0770
01/04/2008,200.8420
01/05/2008,193.9400
01/06/2008,176.2390
01/07/2008,158.2890
01/08/2008,150.6260
01/09/2008,140.7560
01/10/2008,141.1990
01/11/2008,146.1200
01/12/2008,142.8500
01/01/2009,181.1820
01/02/2009,247.3390
01/03/2009,266.7060
01/04/2009,253.8350
01/05/2009,232.6590
01/06/2009,212.9130
01/07/2009,193.7050
01/08/2009,166.7100
01/09/2009,143.3130
01/10/2009,138.4860
01/11/2009,158.9690
01/12/2009,168.3490
01/01/2010,182.7840
01/02/2010,202.7750
01/03/2010,201.6620
01/04/2010,188.1780
01/05/2010,173.1830
01/06/2010,173.0640
01/07/2010,182.0320
01/08/2010,180.6510
01/09/2010,160.0960
01/10/2010,155.0800
01/11/2010,164.5800
01/12/2010,207.1240
01/01/2011,248.5860
01/02/2011,277.6120
01/03/2011,278.6490
01/04/2011,248.5840
01/05/2011,218.5090
01/06/2011,196.2480
