Fecha,Dato
01/12/2003,100.0000
01/01/2004,108.5390
01/02/2004,121.4830
01/03/2004,124.0070
01/04/2004,133.1300
01/05/2004,106.4990
01/06/2004,94.2710
01/07/2004,95.8470
01/08/2004,103.5400
01/09/2004,106.1600
01/10/2004,106.2220
01/11/2004,109.1230
01/12/2004,114.9890
01/01/2005,121.5650
01/02/2005,118.5500
01/03/2005,130.6310
01/04/2005,131.5570
01/05/2005,114.3490
01/06/2005,113.6380
01/07/2005,142.1480
01/08/2005,138.1000
01/09/2005,139.9570
01/10/2005,147.4250
01/11/2005,147.5010
01/12/2005,147.5010
01/01/2006,147.5010
01/02/2006,154.0950
01/03/2006,181.2910
01/04/2006,185.7800
01/05/2006,170.9030
01/06/2006,166.9120
01/07/2006,155.2840
01/08/2006,147.1200
01/09/2006,143.1990
01/10/2006,141.7260
01/11/2006,141.7260
01/12/2006,141.7260
01/01/2007,141.7260
01/02/2007,153.3410
01/03/2007,205.5050
01/04/2007,182.3250
01/05/2007,139.0370
01/06/2007,134.6840
01/07/2007,134.6270
01/08/2007,141.0100
01/09/2007,155.7360
01/10/2007,159.1430
01/11/2007,160.5900
01/12/2007,160.6210
01/01/2008,160.6210
01/02/2008,183.2590
01/03/2008,167.9390
01/04/2008,153.5780
01/05/2008,148.8950
01/06/2008,135.3050
01/07/2008,134.2350
01/08/2008,135.1090
01/09/2008,137.2340
01/10/2008,137.2340
01/11/2008,137.2340
01/12/2008,137.2340
01/01/2009,143.4640
01/02/2009,155.5780
01/03/2009,145.1160
01/04/2009,136.1940
01/05/2009,134.3340
01/06/2009,132.7780
01/07/2009,130.1240
01/08/2009,139.7330
01/09/2009,146.6500
01/10/2009,153.6240
01/11/2009,153.8850
01/12/2009,153.8770
01/01/2010,155.4890
01/02/2010,178.6980
01/03/2010,191.7630
01/04/2010,166.2000
01/05/2010,152.9870
01/06/2010,145.3450
01/07/2010,127.6130
01/08/2010,133.7700
01/09/2010,143.2310
01/10/2010,151.2520
01/11/2010,152.2700
01/12/2010,152.7740
01/01/2011,155.4820
01/02/2011,154.9210
01/03/2011,148.2610
01/04/2011,147.5470
01/05/2011,132.2830
01/06/2011,124.6350
