Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.8250
01/02/2004,103.2090
01/03/2004,106.5190
01/04/2004,106.3130
01/05/2004,107.3320
01/06/2004,108.1650
01/07/2004,110.1100
01/08/2004,109.3910
01/09/2004,113.0580
01/10/2004,103.5390
01/11/2004,103.2430
01/12/2004,104.0150
01/01/2005,103.5310
01/02/2005,101.7350
01/03/2005,101.4520
01/04/2005,99.4740
01/05/2005,91.7940
01/06/2005,88.6640
01/07/2005,90.9930
01/08/2005,92.2090
01/09/2005,93.6400
01/10/2005,96.2700
01/11/2005,102.8160
01/12/2005,100.7910
01/01/2006,104.5490
01/02/2006,105.8900
01/03/2006,104.3030
01/04/2006,106.0090
01/05/2006,105.3680
01/06/2006,106.8770
01/07/2006,111.4970
01/08/2006,113.2560
01/09/2006,117.6910
01/10/2006,115.7950
01/11/2006,128.6410
01/12/2006,128.2630
01/01/2007,121.7770
01/02/2007,125.2380
01/03/2007,123.4890
01/04/2007,123.8770
01/05/2007,127.4590
01/06/2007,124.0050
01/07/2007,124.0050
01/08/2007,120.1160
01/09/2007,119.9350
01/10/2007,120.6190
01/11/2007,124.0630
01/12/2007,124.3430
01/01/2008,124.6380
01/02/2008,123.9520
01/03/2008,122.5370
01/04/2008,119.4840
01/05/2008,121.7960
01/06/2008,119.0040
01/07/2008,121.9180
01/08/2008,156.0010
01/09/2008,149.1790
01/10/2008,141.2530
01/11/2008,141.9910
01/12/2008,140.3390
01/01/2009,137.3710
01/02/2009,135.1350
01/03/2009,137.5270
01/04/2009,148.8850
01/05/2009,141.4010
01/06/2009,144.6850
01/07/2009,145.3250
01/08/2009,140.8060
01/09/2009,120.8830
01/10/2009,107.7250
01/11/2009,111.8280
01/12/2009,110.4960
01/01/2010,114.5200
01/02/2010,119.1510
01/03/2010,124.1970
01/04/2010,125.8240
01/05/2010,131.6790
01/06/2010,136.8530
01/07/2010,137.9280
01/08/2010,135.3240
01/09/2010,133.2020
01/10/2010,139.4060
01/11/2010,149.9440
01/12/2010,154.3120
01/01/2011,154.7200
01/02/2011,154.6070
01/03/2011,149.5980
01/04/2011,151.7740
01/05/2011,152.1830
01/06/2011,151.6620
