Fecha,Dato
01/12/2003,100.0000
01/01/2004,115.9940
01/02/2004,135.2090
01/03/2004,123.4810
01/04/2004,102.3390
01/05/2004,76.1810
01/06/2004,72.1080
01/07/2004,73.3480
01/08/2004,79.0800
01/09/2004,87.4910
01/10/2004,99.6040
01/11/2004,91.4990
01/12/2004,95.7590
01/01/2005,105.0530
01/02/2005,117.8460
01/03/2005,114.0090
01/04/2005,113.0410
01/05/2005,113.5790
01/06/2005,89.4650
01/07/2005,97.4400
01/08/2005,90.1600
01/09/2005,104.7890
01/10/2005,93.3270
01/11/2005,111.3400
01/12/2005,116.2360
01/01/2006,101.9030
01/02/2006,112.8350
01/03/2006,122.9980
01/04/2006,118.4240
01/05/2006,87.7990
01/06/2006,70.0810
01/07/2006,79.3670
01/08/2006,103.4590
01/09/2006,103.7940
01/10/2006,103.7890
01/11/2006,92.7820
01/12/2006,92.1200
01/01/2007,118.6680
01/02/2007,137.9700
01/03/2007,162.3650
01/04/2007,122.7880
01/05/2007,94.4920
01/06/2007,96.8630
01/07/2007,87.7100
01/08/2007,99.3920
01/09/2007,116.2540
01/10/2007,115.3380
01/11/2007,122.9550
01/12/2007,108.5060
01/01/2008,122.9440
01/02/2008,123.5250
01/03/2008,148.8100
01/04/2008,129.7050
01/05/2008,116.4400
01/06/2008,105.0140
01/07/2008,100.4520
01/08/2008,100.9880
01/09/2008,113.7410
01/10/2008,116.8540
01/11/2008,111.4190
01/12/2008,109.9840
01/01/2009,129.1610
01/02/2009,146.4550
01/03/2009,127.0960
01/04/2009,124.0150
01/05/2009,104.8370
01/06/2009,102.4750
01/07/2009,116.2950
01/08/2009,129.0290
01/09/2009,121.6640
01/10/2009,126.5290
01/11/2009,113.8590
01/12/2009,115.9830
01/01/2010,160.1370
01/02/2010,191.3720
01/03/2010,151.5260
01/04/2010,144.6400
01/05/2010,126.7540
01/06/2010,118.2960
01/07/2010,92.3660
01/08/2010,101.1710
01/09/2010,117.4390
01/10/2010,125.5950
01/11/2010,137.2010
01/12/2010,136.4430
01/01/2011,136.3320
01/02/2011,128.8090
01/03/2011,137.7730
01/04/2011,137.8110
01/05/2011,102.6310
01/06/2011,107.4850
