Fecha,Dato
01/12/2003,100.0000
01/01/2004,110.5220
01/02/2004,136.7500
01/03/2004,192.6140
01/04/2004,181.1370
01/05/2004,114.9220
01/06/2004,119.1380
01/07/2004,130.5910
01/08/2004,140.5490
01/09/2004,170.6200
01/10/2004,148.4920
01/11/2004,128.3050
01/12/2004,146.6150
01/01/2005,166.4100
01/02/2005,180.1390
01/03/2005,170.9390
01/04/2005,195.8880
01/05/2005,177.5340
01/06/2005,147.8910
01/07/2005,155.1580
01/08/2005,163.6510
01/09/2005,164.2890
01/10/2005,190.3640
01/11/2005,212.5220
01/12/2005,207.8430
01/01/2006,212.1150
01/02/2006,228.7750
01/03/2006,229.0340
01/04/2006,196.5560
01/05/2006,162.1960
01/06/2006,143.5410
01/07/2006,138.2780
01/08/2006,169.8200
01/09/2006,219.0090
01/10/2006,296.6550
01/11/2006,178.2310
01/12/2006,147.1570
01/01/2007,168.1620
01/02/2007,229.6810
01/03/2007,262.4040
01/04/2007,258.4000
01/05/2007,164.6040
01/06/2007,165.8730
01/07/2007,195.5390
01/08/2007,192.6540
01/09/2007,194.9400
01/10/2007,223.7610
01/11/2007,181.5750
01/12/2007,158.6980
01/01/2008,187.0990
01/02/2008,195.6730
01/03/2008,235.5450
01/04/2008,217.2560
01/05/2008,192.7670
01/06/2008,205.3510
01/07/2008,175.3140
01/08/2008,194.8240
01/09/2008,207.6390
01/10/2008,240.8500
01/11/2008,193.7770
01/12/2008,223.7710
01/01/2009,296.4470
01/02/2009,290.0830
01/03/2009,264.9550
01/04/2009,248.5400
01/05/2009,218.5590
01/06/2009,216.0940
01/07/2009,217.6300
01/08/2009,239.5480
01/09/2009,227.9010
01/10/2009,230.3280
01/11/2009,233.6220
01/12/2009,210.4110
01/01/2010,260.5260
01/02/2010,283.6430
01/03/2010,330.5020
01/04/2010,279.6730
01/05/2010,239.7810
01/06/2010,243.3530
01/07/2010,198.8730
01/08/2010,208.4190
01/09/2010,231.0600
01/10/2010,294.2010
01/11/2010,250.1340
01/12/2010,259.4360
01/01/2011,292.8100
01/02/2011,223.8770
01/03/2011,240.5540
01/04/2011,235.8940
01/05/2011,222.5800
01/06/2011,217.9130
