Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.7660
01/02/2004,98.8870
01/03/2004,96.6370
01/04/2004,98.2550
01/05/2004,98.7740
01/06/2004,100.6050
01/07/2004,101.2460
01/08/2004,99.9640
01/09/2004,99.9640
01/10/2004,102.5090
01/11/2004,105.0540
01/12/2004,109.8160
01/01/2005,117.9090
01/02/2005,122.8690
01/03/2005,124.6550
01/04/2005,127.9620
01/05/2005,128.1840
01/06/2005,127.9620
01/07/2005,127.9620
01/08/2005,127.5180
01/09/2005,126.3280
01/10/2005,119.3330
01/11/2005,113.3870
01/12/2005,122.0480
01/01/2006,123.6830
01/02/2006,122.6440
01/03/2006,123.2390
01/04/2006,123.2390
01/05/2006,124.7190
01/06/2006,122.2170
01/07/2006,121.6990
01/08/2006,123.2050
01/09/2006,126.6350
01/10/2006,123.0630
01/11/2006,121.4290
01/12/2006,123.5140
01/01/2007,123.5550
01/02/2007,122.7350
01/03/2007,124.7190
01/04/2007,128.6190
01/05/2007,128.6190
01/06/2007,132.1290
01/07/2007,130.6030
01/08/2007,130.6030
01/09/2007,132.0510
01/10/2007,126.8090
01/11/2007,121.0110
01/12/2007,118.4210
01/01/2008,117.8080
01/02/2008,119.0060
01/03/2008,121.1650
01/04/2008,121.9150
01/05/2008,123.8240
01/06/2008,122.2260
01/07/2008,121.5600
01/08/2008,121.6720
01/09/2008,119.4450
01/10/2008,120.4080
01/11/2008,122.1940
01/12/2008,125.6720
01/01/2009,121.8150
01/02/2009,128.3270
01/03/2009,128.6750
01/04/2009,130.1720
01/05/2009,126.9290
01/06/2009,129.5410
01/07/2009,129.3910
01/08/2009,126.0170
01/09/2009,131.7110
01/10/2009,128.2290
01/11/2009,118.3780
01/12/2009,114.9160
01/01/2010,117.2370
01/02/2010,119.0170
01/03/2010,118.6720
01/04/2010,118.9180
01/05/2010,122.8120
01/06/2010,124.5280
01/07/2010,126.2260
01/08/2010,127.8900
01/09/2010,132.7830
01/10/2010,145.6050
01/11/2010,159.2910
01/12/2010,180.9120
01/01/2011,185.6790
01/02/2011,191.3300
01/03/2011,200.9320
01/04/2011,201.5430
01/05/2011,191.8310
01/06/2011,182.2930
