Fecha,Dato
01/12/2003,100.0000
01/01/2004,112.8150
01/02/2004,110.8150
01/03/2004,116.0990
01/04/2004,113.5710
01/05/2004,110.7390
01/06/2004,108.5520
01/07/2004,108.7390
01/08/2004,110.7390
01/09/2004,110.7390
01/10/2004,113.6650
01/11/2004,108.6240
01/12/2004,110.8930
01/01/2005,110.4260
01/02/2005,110.4260
01/03/2005,110.4260
01/04/2005,110.5500
01/05/2005,112.4250
01/06/2005,117.6880
01/07/2005,114.2880
01/08/2005,120.9250
01/09/2005,120.5130
01/10/2005,120.7290
01/11/2005,117.8000
01/12/2005,120.9250
01/01/2006,121.0500
01/02/2006,120.1810
01/03/2006,120.3000
01/04/2006,120.9250
01/05/2006,120.9250
01/06/2006,120.9250
01/07/2006,108.4250
01/08/2006,108.3670
01/09/2006,106.5730
01/10/2006,108.4250
01/11/2006,108.3090
01/12/2006,109.1250
01/01/2007,111.3130
01/02/2007,108.4250
01/03/2007,108.4250
01/04/2007,109.6750
01/05/2007,114.0500
01/06/2007,115.9250
01/07/2007,115.9250
01/08/2007,115.8810
01/09/2007,115.9250
01/10/2007,116.3880
01/11/2007,119.1380
01/12/2007,120.9250
01/01/2008,124.6750
01/02/2008,131.8430
01/03/2008,132.0690
01/04/2008,132.0690
01/05/2008,132.0690
01/06/2008,134.4860
01/07/2008,134.5690
01/08/2008,133.9740
01/09/2008,133.0810
01/10/2008,134.5690
01/11/2008,134.0230
01/12/2008,134.5690
01/01/2009,139.5690
01/02/2009,143.3190
01/03/2009,144.6850
01/04/2009,145.0340
01/05/2009,147.4820
01/06/2009,144.8010
01/07/2009,145.0340
01/08/2009,145.0340
01/09/2009,147.9100
01/10/2009,153.2870
01/11/2009,153.2870
01/12/2009,153.2870
01/01/2010,153.7100
01/02/2010,147.4540
01/03/2010,146.7760
01/04/2010,150.7240
01/05/2010,153.7390
01/06/2010,152.9060
01/07/2010,150.1650
01/08/2010,153.1660
01/09/2010,154.4280
01/10/2010,153.4550
01/11/2010,155.8940
01/12/2010,158.1840
01/01/2011,156.4520
01/02/2011,157.6840
01/03/2011,157.9720
01/04/2011,157.7690
01/05/2011,157.7110
01/06/2011,157.3680
