Fecha,Dato
01/12/2003,100.0000
01/01/2004,101.3450
01/02/2004,102.7440
01/03/2004,101.5310
01/04/2004,101.6420
01/05/2004,101.4130
01/06/2004,101.5240
01/07/2004,100.4160
01/08/2004,100.4730
01/09/2004,100.4730
01/10/2004,104.7840
01/11/2004,108.1580
01/12/2004,108.1580
01/01/2005,111.5620
01/02/2005,113.2900
01/03/2005,114.9250
01/04/2005,114.0210
01/05/2005,113.5370
01/06/2005,113.5370
01/07/2005,114.1890
01/08/2005,113.5290
01/09/2005,113.4250
01/10/2005,113.9590
01/11/2005,118.4600
01/12/2005,119.4280
01/01/2006,123.6490
01/02/2006,123.6490
01/03/2006,125.1300
01/04/2006,121.1600
01/05/2006,120.2740
01/06/2006,119.8440
01/07/2006,117.8170
01/08/2006,117.8030
01/09/2006,118.0680
01/10/2006,118.2790
01/11/2006,122.5610
01/12/2006,123.1530
01/01/2007,123.1530
01/02/2007,123.2500
01/03/2007,124.2290
01/04/2007,124.9960
01/05/2007,126.6240
01/06/2007,137.0380
01/07/2007,137.0380
01/08/2007,135.2290
01/09/2007,135.9190
01/10/2007,145.4870
01/11/2007,148.2800
01/12/2007,148.3250
01/01/2008,149.3180
01/02/2008,149.2080
01/03/2008,149.3080
01/04/2008,149.6180
01/05/2008,147.8780
01/06/2008,149.6080
01/07/2008,149.2880
01/08/2008,149.6770
01/09/2008,149.8070
01/10/2008,151.3870
01/11/2008,152.4870
01/12/2008,154.0760
01/01/2009,152.0760
01/02/2009,150.2860
01/03/2009,150.2860
01/04/2009,152.1960
01/05/2009,151.3760
01/06/2009,150.6960
01/07/2009,149.7760
01/08/2009,148.5460
01/09/2009,148.1660
01/10/2009,147.7890
01/11/2009,149.1210
01/12/2009,149.1210
01/01/2010,150.1410
01/02/2010,150.2130
01/03/2010,150.2130
01/04/2010,149.3270
01/05/2010,150.1770
01/06/2010,149.6670
01/07/2010,152.8860
01/08/2010,151.9800
01/09/2010,151.5860
01/10/2010,152.5400
01/11/2010,152.4300
01/12/2010,155.8700
01/01/2011,154.2730
01/02/2011,154.9760
01/03/2011,155.6600
01/04/2011,155.4220
01/05/2011,155.9280
01/06/2011,155.8780
