Fecha,Dato
01/12/2003,100.0000
01/01/2004,107.7950
01/02/2004,108.8910
01/03/2004,111.3570
01/04/2004,113.2860
01/05/2004,115.4470
01/06/2004,111.9670
01/07/2004,103.6330
01/08/2004,98.6500
01/09/2004,101.5800
01/10/2004,99.7610
01/11/2004,99.7080
01/12/2004,103.8120
01/01/2005,124.1480
01/02/2005,121.4030
01/03/2005,121.1390
01/04/2005,115.3070
01/05/2005,112.5670
01/06/2005,111.4700
01/07/2005,114.0260
01/08/2005,118.4270
01/09/2005,111.4210
01/10/2005,105.2280
01/11/2005,104.1920
01/12/2005,109.0350
01/01/2006,109.7530
01/02/2006,108.4240
01/03/2006,117.4180
01/04/2006,120.4890
01/05/2006,119.3160
01/06/2006,117.3610
01/07/2006,122.0290
01/08/2006,119.2230
01/09/2006,122.3590
01/10/2006,120.1940
01/11/2006,118.9530
01/12/2006,119.7190
01/01/2007,126.4970
01/02/2007,132.0380
01/03/2007,136.9250
01/04/2007,133.8000
01/05/2007,136.1420
01/06/2007,143.1530
01/07/2007,126.8840
01/08/2007,124.6180
01/09/2007,125.3440
01/10/2007,117.4300
01/11/2007,126.4690
01/12/2007,129.8860
01/01/2008,140.7770
01/02/2008,141.5670
01/03/2008,142.3150
01/04/2008,146.5930
01/05/2008,147.5690
01/06/2008,146.4290
01/07/2008,139.4680
01/08/2008,136.2040
01/09/2008,130.6690
01/10/2008,130.6710
01/11/2008,129.0480
01/12/2008,130.7580
01/01/2009,131.9130
01/02/2009,132.1590
01/03/2009,132.2580
01/04/2009,137.5850
01/05/2009,137.6220
01/06/2009,130.6500
01/07/2009,130.5300
01/08/2009,131.3100
01/09/2009,127.8260
01/10/2009,133.0130
01/11/2009,136.3250
01/12/2009,135.0630
01/01/2010,145.3050
01/02/2010,148.4580
01/03/2010,148.0160
01/04/2010,143.0540
01/05/2010,144.0890
01/06/2010,143.5930
01/07/2010,144.9980
01/08/2010,145.3130
01/09/2010,145.7810
01/10/2010,144.7080
01/11/2010,144.7910
01/12/2010,145.5400
01/01/2011,146.0120
01/02/2011,148.3510
01/03/2011,148.5200
01/04/2011,151.3640
01/05/2011,153.5090
01/06/2011,154.2250
