Fecha,Dato
01/12/2003,100.0000
01/01/2004,101.4890
01/02/2004,99.8380
01/03/2004,112.2730
01/04/2004,110.5800
01/05/2004,94.5300
01/06/2004,90.2510
01/07/2004,88.4950
01/08/2004,88.6500
01/09/2004,96.1800
01/10/2004,83.2080
01/11/2004,88.3130
01/12/2004,95.8710
01/01/2005,95.5590
01/02/2005,99.5910
01/03/2005,106.5280
01/04/2005,103.0830
01/05/2005,109.0140
01/06/2005,119.1120
01/07/2005,117.6190
01/08/2005,112.9250
01/09/2005,117.7890
01/10/2005,122.1410
01/11/2005,114.9940
01/12/2005,113.8080
01/01/2006,110.5040
01/02/2006,117.1460
01/03/2006,127.7960
01/04/2006,124.8510
01/05/2006,117.4640
01/06/2006,112.1500
01/07/2006,113.1980
01/08/2006,128.0500
01/09/2006,130.4270
01/10/2006,132.6090
01/11/2006,130.0930
01/12/2006,121.4070
01/01/2007,122.6880
01/02/2007,123.6900
01/03/2007,126.2920
01/04/2007,122.6270
01/05/2007,114.7440
01/06/2007,108.4440
01/07/2007,111.1940
01/08/2007,116.4980
01/09/2007,122.0690
01/10/2007,115.0480
01/11/2007,115.4420
01/12/2007,117.5820
01/01/2008,125.5750
01/02/2008,126.3530
01/03/2008,135.6180
01/04/2008,137.8220
01/05/2008,145.6310
01/06/2008,144.1880
01/07/2008,143.1970
01/08/2008,134.7660
01/09/2008,126.5450
01/10/2008,127.5350
01/11/2008,135.2640
01/12/2008,141.3460
01/01/2009,148.8200
01/02/2009,141.2550
01/03/2009,139.4310
01/04/2009,148.5630
01/05/2009,143.8550
01/06/2009,121.6240
01/07/2009,119.1090
01/08/2009,123.0060
01/09/2009,122.7190
01/10/2009,119.4660
01/11/2009,124.1770
01/12/2009,134.1600
01/01/2010,137.3940
01/02/2010,139.1110
01/03/2010,137.9290
01/04/2010,142.8070
01/05/2010,143.4940
01/06/2010,143.7840
01/07/2010,143.6370
01/08/2010,147.2740
01/09/2010,147.5880
01/10/2010,144.5880
01/11/2010,144.8720
01/12/2010,146.3250
01/01/2011,146.4640
01/02/2011,149.5610
01/03/2011,149.0280
01/04/2011,153.4400
01/05/2011,152.9700
01/06/2011,152.8630
