Fecha,Dato
01/12/2003,100.0000
01/01/2004,101.4150
01/02/2004,105.2860
01/03/2004,109.0790
01/04/2004,107.0280
01/05/2004,101.1160
01/06/2004,101.5730
01/07/2004,100.7350
01/08/2004,102.0830
01/09/2004,103.1320
01/10/2004,109.2870
01/11/2004,111.2060
01/12/2004,114.6920
01/01/2005,118.9490
01/02/2005,128.2670
01/03/2005,131.9770
01/04/2005,125.8370
01/05/2005,124.6770
01/06/2005,124.5520
01/07/2005,125.8560
01/08/2005,123.2990
01/09/2005,128.6960
01/10/2005,129.8620
01/11/2005,127.9990
01/12/2005,131.8280
01/01/2006,134.7650
01/02/2006,134.4680
01/03/2006,134.7340
01/04/2006,133.0760
01/05/2006,129.2380
01/06/2006,126.0670
01/07/2006,127.6920
01/08/2006,130.2170
01/09/2006,131.1880
01/10/2006,133.8830
01/11/2006,132.3410
01/12/2006,137.5540
01/01/2007,140.4200
01/02/2007,136.9950
01/03/2007,139.5970
01/04/2007,137.7520
01/05/2007,132.0640
01/06/2007,131.6180
01/07/2007,135.8340
01/08/2007,134.1920
01/09/2007,139.4330
01/10/2007,137.6640
01/11/2007,135.2020
01/12/2007,138.6200
01/01/2008,138.8780
01/02/2008,138.1860
01/03/2008,139.5610
01/04/2008,135.9590
01/05/2008,125.8990
01/06/2008,124.0400
01/07/2008,123.4760
01/08/2008,128.3520
01/09/2008,135.0760
01/10/2008,139.3680
01/11/2008,139.3800
01/12/2008,137.2550
01/01/2009,147.8720
01/02/2009,160.2460
01/03/2009,169.8730
01/04/2009,174.0160
01/05/2009,160.9350
01/06/2009,167.1940
01/07/2009,156.0260
01/08/2009,154.6850
01/09/2009,156.9530
01/10/2009,157.5940
01/11/2009,161.7610
01/12/2009,168.1530
01/01/2010,167.1920
01/02/2010,169.4900
01/03/2010,171.8180
01/04/2010,169.7940
01/05/2010,168.9480
01/06/2010,163.1400
01/07/2010,162.3170
01/08/2010,164.4640
01/09/2010,164.5610
01/10/2010,161.3170
01/11/2010,161.5840
01/12/2010,165.5360
01/01/2011,164.9510
01/02/2011,167.6160
01/03/2011,172.9320
01/04/2011,174.5510
01/05/2011,174.9240
01/06/2011,179.5730
