Fecha,Dato
01/12/2003,100.0000
01/01/2004,106.8320
01/02/2004,106.8320
01/03/2004,109.6320
01/04/2004,114.9780
01/05/2004,128.2160
01/06/2004,144.4720
01/07/2004,132.6990
01/08/2004,131.5300
01/09/2004,112.6660
01/10/2004,125.0880
01/11/2004,155.3260
01/12/2004,155.8300
01/01/2005,126.8180
01/02/2005,126.7130
01/03/2005,128.9780
01/04/2005,141.7320
01/05/2005,136.5820
01/06/2005,126.1560
01/07/2005,138.0390
01/08/2005,144.7940
01/09/2005,152.2720
01/10/2005,159.9070
01/11/2005,161.6380
01/12/2005,148.1490
01/01/2006,149.3240
01/02/2006,139.1920
01/03/2006,132.1430
01/04/2006,137.2930
01/05/2006,140.6070
01/06/2006,125.3360
01/07/2006,125.9650
01/08/2006,139.2430
01/09/2006,134.9850
01/10/2006,93.8810
01/11/2006,139.7770
01/12/2006,141.1510
01/01/2007,128.9220
01/02/2007,151.3510
01/03/2007,158.9360
01/04/2007,150.0030
01/05/2007,159.6510
01/06/2007,163.4690
01/07/2007,150.0330
01/08/2007,138.3540
01/09/2007,133.8620
01/10/2007,143.3250
01/11/2007,146.7350
01/12/2007,151.4100
01/01/2008,151.8490
01/02/2008,168.3670
01/03/2008,181.1280
01/04/2008,186.0080
01/05/2008,213.2250
01/06/2008,224.5360
01/07/2008,250.1400
01/08/2008,193.1940
01/09/2008,188.9880
01/10/2008,202.7900
01/11/2008,197.6040
01/12/2008,207.6900
01/01/2009,197.5320
01/02/2009,191.1610
01/03/2009,183.2800
01/04/2009,162.4840
01/05/2009,138.7790
01/06/2009,146.1500
01/07/2009,142.4030
01/08/2009,128.3560
01/09/2009,122.9350
01/10/2009,135.0350
01/11/2009,148.8300
01/12/2009,135.0350
01/01/2010,169.3750
01/02/2010,162.3410
01/03/2010,144.0570
01/04/2010,115.2910
01/05/2010,129.0290
01/06/2010,128.8260
01/07/2010,140.4020
01/08/2010,138.1770
01/09/2010,119.2660
01/10/2010,120.2250
01/11/2010,112.5180
01/12/2010,127.6740
01/01/2011,127.7550
01/02/2011,130.0120
01/03/2011,114.2420
01/04/2011,116.1050
01/05/2011,115.0830
01/06/2011,116.3620
