Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,104.0220
01/03/2004,104.0220
01/04/2004,104.0220
01/05/2004,104.0220
01/06/2004,104.0220
01/07/2004,104.0220
01/08/2004,104.0220
01/09/2004,104.0220
01/10/2004,104.0220
01/11/2004,104.0220
01/12/2004,104.0220
01/01/2005,104.0220
01/02/2005,104.0220
01/03/2005,104.0220
01/04/2005,104.0220
01/05/2005,104.0220
01/06/2005,118.5030
01/07/2005,118.5030
01/08/2005,118.5030
01/09/2005,118.5030
01/10/2005,118.5030
01/11/2005,118.5030
01/12/2005,118.5030
01/01/2006,129.2080
01/02/2006,129.2080
01/03/2006,129.2080
01/04/2006,129.2080
01/05/2006,129.2080
01/06/2006,129.2080
01/07/2006,129.2080
01/08/2006,129.2080
01/09/2006,129.2080
01/10/2006,129.2080
01/11/2006,129.2080
01/12/2006,129.2080
01/01/2007,129.2080
01/02/2007,152.3820
01/03/2007,152.3820
01/04/2007,152.3820
01/05/2007,152.3820
01/06/2007,152.3820
01/07/2007,152.3820
01/08/2007,152.3820
01/09/2007,152.3820
01/10/2007,152.3820
01/11/2007,152.3820
01/12/2007,152.3820
01/01/2008,152.3820
01/02/2008,207.3930
01/03/2008,207.3930
01/04/2008,207.3930
01/05/2008,249.4960
01/06/2008,255.7130
01/07/2008,169.5920
01/08/2008,166.9320
01/09/2008,166.9320
01/10/2008,166.9320
01/11/2008,166.9320
01/12/2008,166.9320
01/01/2009,166.9320
01/02/2009,166.9320
01/03/2009,166.9320
01/04/2009,166.9320
01/05/2009,166.9320
01/06/2009,166.9320
01/07/2009,173.6170
01/08/2009,173.6170
01/09/2009,173.6170
01/10/2009,173.6170
01/11/2009,173.6170
01/12/2009,173.6170
01/01/2010,173.6170
01/02/2010,174.5680
01/03/2010,172.2900
01/04/2010,164.5500
01/05/2010,207.4300
01/06/2010,207.9160
01/07/2010,206.4370
01/08/2010,205.2900
01/09/2010,206.5320
01/10/2010,196.8340
01/11/2010,195.5310
01/12/2010,196.3440
01/01/2011,193.8630
01/02/2011,221.3940
01/03/2011,220.8020
01/04/2011,217.9560
01/05/2011,216.8700
01/06/2011,245.9740
