Fecha,Dato
01/12/2003,100.0000
01/01/2004,98.6950
01/02/2004,97.2960
01/03/2004,97.5740
01/04/2004,98.9610
01/05/2004,96.3770
01/06/2004,92.4410
01/07/2004,99.6460
01/08/2004,99.5910
01/09/2004,101.5410
01/10/2004,104.4800
01/11/2004,109.2170
01/12/2004,108.1210
01/01/2005,104.1280
01/02/2005,102.9490
01/03/2005,105.5640
01/04/2005,104.1690
01/05/2005,101.2140
01/06/2005,101.7890
01/07/2005,99.0480
01/08/2005,101.9170
01/09/2005,107.2720
01/10/2005,111.0130
01/11/2005,111.1700
01/12/2005,118.0950
01/01/2006,126.8170
01/02/2006,126.9090
01/03/2006,130.1200
01/04/2006,146.8190
01/05/2006,163.0650
01/06/2006,147.9820
01/07/2006,152.6810
01/08/2006,150.0890
01/09/2006,143.2040
01/10/2006,139.8850
01/11/2006,149.2260
01/12/2006,149.2830
01/01/2007,150.5270
01/02/2007,159.6640
01/03/2007,158.9250
01/04/2007,162.9530
01/05/2007,157.6190
01/06/2007,154.6840
01/07/2007,156.6860
01/08/2007,160.1670
01/09/2007,170.9170
01/10/2007,178.5850
01/11/2007,191.0700
01/12/2007,189.0400
01/01/2008,191.3030
01/02/2008,216.9350
01/03/2008,226.7460
01/04/2008,208.9730
01/05/2008,202.7290
01/06/2008,200.4490
01/07/2008,210.0040
01/08/2008,187.4500
01/09/2008,191.9110
01/10/2008,219.0260
01/11/2008,217.4890
01/12/2008,238.1430
01/01/2009,259.2740
01/02/2009,298.7730
01/03/2009,298.3630
01/04/2009,261.2670
01/05/2009,268.8610
01/06/2009,275.4530
01/07/2009,272.2340
01/08/2009,269.1290
01/09/2009,291.1200
01/10/2009,302.2350
01/11/2009,322.9910
01/12/2009,317.8490
01/01/2010,312.6180
01/02/2010,309.4780
01/03/2010,306.5400
01/04/2010,306.3930
01/05/2010,333.3160
01/06/2010,342.2330
01/07/2010,334.0220
01/08/2010,337.3530
01/09/2010,356.1690
01/10/2010,364.5580
01/11/2010,368.1990
01/12/2010,375.9040
01/01/2011,359.6000
01/02/2011,361.5780
01/03/2011,373.3400
01/04/2011,376.1050
01/05/2011,382.9830
01/06/2011,393.8750
