Fecha,Dato
01/12/2003,100.0000
01/01/2004,103.7700
01/02/2004,105.9570
01/03/2004,106.6280
01/04/2004,106.3470
01/05/2004,106.0910
01/06/2004,106.9180
01/07/2004,108.4720
01/08/2004,112.0990
01/09/2004,116.9500
01/10/2004,122.2900
01/11/2004,123.4940
01/12/2004,124.0330
01/01/2005,122.7950
01/02/2005,124.5680
01/03/2005,123.9510
01/04/2005,124.0890
01/05/2005,122.6050
01/06/2005,121.8170
01/07/2005,123.9440
01/08/2005,123.8150
01/09/2005,123.7870
01/10/2005,122.9770
01/11/2005,124.3790
01/12/2005,125.0460
01/01/2006,124.7380
01/02/2006,124.9450
01/03/2006,125.1060
01/04/2006,123.5010
01/05/2006,122.3090
01/06/2006,120.6120
01/07/2006,120.4940
01/08/2006,120.3470
01/09/2006,119.7500
01/10/2006,119.7850
01/11/2006,122.0670
01/12/2006,121.1700
01/01/2007,124.6180
01/02/2007,124.2990
01/03/2007,124.1660
01/04/2007,123.6960
01/05/2007,125.6530
01/06/2007,125.8770
01/07/2007,126.4110
01/08/2007,126.6490
01/09/2007,126.9430
01/10/2007,127.7630
01/11/2007,128.7960
01/12/2007,129.1700
01/01/2008,129.5050
01/02/2008,129.1880
01/03/2008,127.0620
01/04/2008,127.4310
01/05/2008,127.8060
01/06/2008,127.8640
01/07/2008,129.4410
01/08/2008,130.5080
01/09/2008,130.3880
01/10/2008,130.0900
01/11/2008,130.0580
01/12/2008,132.3430
01/01/2009,133.4070
01/02/2009,133.4710
01/03/2009,133.7500
01/04/2009,133.9290
01/05/2009,134.3970
01/06/2009,135.4710
01/07/2009,136.5920
01/08/2009,137.3780
01/09/2009,137.3290
01/10/2009,135.6710
01/11/2009,133.7200
01/12/2009,135.0070
01/01/2010,135.1130
01/02/2010,135.4500
01/03/2010,136.1280
01/04/2010,135.6240
01/05/2010,136.0170
01/06/2010,135.5580
01/07/2010,135.9890
01/08/2010,136.8330
01/09/2010,136.5890
01/10/2010,136.7880
01/11/2010,139.1150
01/12/2010,139.4940
01/01/2011,139.7550
01/02/2011,140.8760
01/03/2011,141.7710
01/04/2011,141.8070
01/05/2011,141.5730
01/06/2011,141.5660
